ページ名,リンクの表示文言,リンク先URL,設置場所
"home","コンテンツに進む","https://atspect.com/#MainContent","本文"
"home","日本語","https://atspect.com/?lang=ja","ヘッダー"
"home","English","https://atspect.com/?lang=en","ヘッダー"
"home","简体中文","https://atspect.com/?lang=zh-cn","ヘッダー"
"home","繁體中文","https://atspect.com/?lang=zh-tw","ヘッダー"
"home","한국어","https://atspect.com/?lang=ko","ヘッダー"
"home","Français","https://atspect.com/?lang=fr","ヘッダー"
"home","Español","https://atspect.com/?lang=es","ヘッダー"
"home","Deutsch","https://atspect.com/?lang=de","ヘッダー"
"home","","https://atspect.com/","ヘッダー"
"home","","https://atspect.com/pages/wishlist","ヘッダー"
"home","","https://atspect.com/customer_authentication/redirect?locale=ja&region_country=JP","ヘッダー"
"home","カート","https://atspect.com/cart","ヘッダー"
"home","カートを見る","https://atspect.com/cart","ヘッダー"
"home","作家を探す","https://atspect.com/pages/artists","ヘッダー"
"home","作品を探す","https://atspect.com/collections/all","ヘッダー"
"home","あつぺくとについて","https://atspect.com/pages/about","ヘッダー"
"home","お問い合わせ","https://atspect.com/pages/contact","ヘッダー"
"home","作家の方へ","https://atspect.com/pages/artist-guide","ヘッダー"
"home","作家を探す Artists 艺术家 藝術家 작가 Artistes Artistas Künstler","https://atspect.com/pages/artists","本文"
"home","あつぺくとについて About ATSPECT 关于 ATSPECT 關於 ATSPECT ATSPECT 소개 À propos d'ATSPECT Acerca de ATSPECT Über ATSPECT","https://atspect.com/pages/about","本文"
"home","絵画 Painting 绘画 繪畫 회화 Peinture Pintura Malerei","https://atspect.com/collections/all?genre=%E7%B5%B5%E7%94%BB","本文"
"home","彫刻 Sculpture 雕塑 雕塑 조각 Sculpture Escultura Skulptur","https://atspect.com/collections/all?genre=%E5%BD%AB%E5%88%BB","本文"
"home","工芸 Craft Art 工艺美术 工藝美術 공예 Arts décoratifs Artes decorativas Kunsthandwerk","https://atspect.com/collections/all?genre=%E5%B7%A5%E8%8A%B8","本文"
"home","書 Japanese Calligraphy 书法 書法 서예 Calligraphie japonaise Caligrafía japonesa Japanische Kalligrafie","https://atspect.com/collections/all?genre=%E6%9B%B8","本文"
"home","写真 Photography 摄影 攝影 사진 Photographie Fotografía Fotografie","https://atspect.com/collections/all?genre=%E5%86%99%E7%9C%9F","本文"
"home","デザイン Design 设计 設計 디자인 Design Diseño Design","https://atspect.com/collections/all?genre=%E3%83%87%E3%82%B6%E3%82%A4%E3%83%B3","本文"
"home","現代美術 Contemporary Art 当代艺术 當代藝術 현대미술 Art contemporain Arte contemporáneo Zeitgenössische Kunst","https://atspect.com/collections/all?genre=%E7%8F%BE%E4%BB%A3%E7%BE%8E%E8%A1%93","本文"
"home","建築 Architecture 建筑 建築 건축 Architecture Arquitectura Architektur","https://atspect.com/collections/all?genre=%E5%BB%BA%E7%AF%89","本文"
"home","鈴木 千賀子Chikako Suzuki《カエル仏》《Frog Buddha》ヒノキ・彩色・箔 H 24 × W 30 × D 25 cmJapanese cypress (hinoki), polychromy, gold leaf H 24 × W 30 × D 25 cm (9.4 × 11.8 × 9.8 in)桧木・彩色・金箔 高24×宽30×深25厘米檜木・彩色・金箔 高24×寬30×深25cm히노키(편백나무)・채색・금박 H 24 × W 30 × D 25 cmCyprès japonais (hinoki), polychromie, feuille d'or H 24 × L 30 × P 25 cmCiprés japonés (hinoki), policromía, pan de oro Al 24 × An 30 × Pr 25 cmJapanese cypress (hinoki), polychromy, gold leaf H 24 × B 30 × T 25 cm","https://atspect.com/products/kaeru-butsu","本文"
"home","鈴木 千賀子Chikako Suzuki《かけくらべ》《A Lively Race》ヒノキ・彩色・箔 H 28 × W 25 × D 15 cmJapanese cypress (hinoki), polychromy, gold leaf H 28 × W 25 × D 15 cm (11 × 9.8 × 5.9 in)桧木・彩色・金箔 高28×宽25×深15厘米檜木・彩色・金箔 高28×寬25×深15cm히노키(편백나무)・채색・금박 H 28 × W 25 × D 15 cmCyprès japonais (hinoki), polychromie, feuille d'or H 28 × L 25 × P 15 cmCiprés japonés (hinoki), policromía, pan de oro Al 28 × An 25 × Pr 15 cmJapanese cypress (hinoki), polychromy, gold leaf H 28 × B 25 × T 15 cm","https://atspect.com/products/kakekurabe","本文"
"home","鈴木 千賀子Chikako Suzuki《舟奏楽》《Boat Music》バルサ・彩色・箔 H 23 × W 53 × D 23 cmBalsa wood, polychromy, gold leaf H 23 × W 53 × D 23 cm (9.1 × 20.9 × 9.1 in)巴尔沙木・彩色・金箔 高23×宽53×深23厘米巴爾沙木・彩色・金箔 高23×寬53×深23cm발사 나무・채색・금박 H 23 × W 53 × D 23 cmBois de balsa, polychromie, feuille d'or H 23 × L 53 × P 23 cmMadera de balsa, policromía, pan de oro Al 23 × An 53 × Pr 23 cmBalsa wood, polychromy, gold leaf H 23 × B 53 × T 23 cm","https://atspect.com/products/funasogaku","本文"
"home","作品を見る View works 查看作品 查看作品 작품 보기 Voir les œuvres Ver las obras Werke ansehen","https://atspect.com/collections/all","本文"
"home","映像を見る（YouTube）Watch the film (YouTube)观看影片（YouTube）觀看影片（YouTube）영상 보기 (YouTube)Voir la vidéo (YouTube)Ver el vídeo (YouTube)Video ansehen (YouTube)","https://www.youtube.com/@%E3%81%82%E3%81%A4%E3%81%BA%E3%81%8F%E3%81%A8","フッター"
"home","よくある質問FAQ常见问题常見問題자주 묻는 질문Questions fréquentesPreguntas frecuentesHäufige Fragen","https://atspect.com/pages/faq","フッター"
"home","プレスPress媒体媒體프레스PressePrensaPresse","https://atspect.com/pages/press","フッター"
"home","プライバシーポリシーPrivacy Policy隐私政策隱私權政策개인정보 처리방침Politique de confidentialitéPolítica de privacidadDatenschutzerklärung","https://atspect.com/pages/privacy","フッター"
"home","特定商取引法に基づく表記Legal Notice (Commercial Transactions)基于特定商业交易法的标示基於特定商業交易法の標示특정상거래법에 따른 표시Mentions légales (transactions commerciales)Aviso legal (transacciones comerciales)Rechtliche Hinweise (Handelsgeschäfte)","https://atspect.com/pages/tokushoho","フッター"
"home","古物営業法に基づく表示Secondhand Goods Business Act Notice基于旧物营业法的标示基於舊物營業法的標示고물영업법에 따른 표시Mentions légales (objets d'occasion)Aviso legal (artículos de segunda mano)Rechtliche Hinweise (Gebrauchtwarenhandel)","https://atspect.com/pages/tokushoho#kobutsu-hyoji","フッター"
"home","作家の方へ","https://atspect.com/pages/artist-guide","フッター"
"home","日本語","https://atspect.com/?lang=ja","フッター"
"home","English","https://atspect.com/?lang=en","フッター"
"home","简体中文","https://atspect.com/?lang=zh-cn","フッター"
"home","繁體中文","https://atspect.com/?lang=zh-tw","フッター"
"home","한국어","https://atspect.com/?lang=ko","フッター"
"home","Français","https://atspect.com/?lang=fr","フッター"
"home","Español","https://atspect.com/?lang=es","フッター"
"home","Deutsch","https://atspect.com/?lang=de","フッター"
"home","お問い合わせContact Us联系我们聯絡我們문의하기Nous contacterContactoKontakt","https://atspect.com/pages/contact","フッター"
"home","Operated by","https://atspect.co.jp/","フッター"
"artists","コンテンツに進む","https://atspect.com/pages/artists#MainContent","本文"
"artists","日本語","https://atspect.com/pages/artists?lang=ja","ヘッダー"
"artists","English","https://atspect.com/pages/artists?lang=en","ヘッダー"
"artists","简体中文","https://atspect.com/pages/artists?lang=zh-cn","ヘッダー"
"artists","繁體中文","https://atspect.com/pages/artists?lang=zh-tw","ヘッダー"
"artists","한국어","https://atspect.com/pages/artists?lang=ko","ヘッダー"
"artists","Français","https://atspect.com/pages/artists?lang=fr","ヘッダー"
"artists","Español","https://atspect.com/pages/artists?lang=es","ヘッダー"
"artists","Deutsch","https://atspect.com/pages/artists?lang=de","ヘッダー"
"artists","","https://atspect.com/","ヘッダー"
"artists","","https://atspect.com/pages/wishlist","ヘッダー"
"artists","","https://atspect.com/customer_authentication/redirect?locale=ja&region_country=JP","ヘッダー"
"artists","カート","https://atspect.com/cart","ヘッダー"
"artists","カートを見る","https://atspect.com/cart","ヘッダー"
"artists","作家を探す","https://atspect.com/pages/artists","ヘッダー"
"artists","作品を探す","https://atspect.com/collections/all","ヘッダー"
"artists","あつぺくとについて","https://atspect.com/pages/about","ヘッダー"
"artists","お問い合わせ","https://atspect.com/pages/contact","ヘッダー"
"artists","作家の方へ","https://atspect.com/pages/artist-guide","ヘッダー"
"artists","相田 みつを1924–1991Aida Mitsuo書","https://atspect.com/pages/artist/aida-mitsuo","本文"
"artists","宮脇 愛子1929–2014Miyawaki Aiko現代美術","https://atspect.com/pages/artist/aiko-miyawaki","本文"
"artists","靉光1907–1946Aimitsu絵画","https://atspect.com/pages/artist/aimitsu","本文"
"artists","会津 八一1881–1956Aizu Yaichi書","https://atspect.com/pages/artist/aizu-yaichi","本文"
