作家名,handle,項目,個別フィールド,個別の値,i18nの値
鈴木 千賀子,suzuki-chikako,bio.ja,bio_ja,日本大学理工学部薬学科を卒業後、造形の道へ進む。造形作家・友永詔三、彫刻家・細井良雄、木彫家・牧田裕次郎に師事し、国立劇場の床山では菱田宏治氏・名越詔司氏に師事…,
鈴木 千賀子,suzuki-chikako,bio.en,bio_en,"Born in Saitama, Japan. After graduating from the College of Science and Technol…",
鈴木 千賀子,suzuki-chikako,bio.zh_cn,bio_zh_cn,生于埼玉县。毕业于日本大学理工学部药学科。师从造形艺术家友永诏三、雕塑家细井良雄、木雕家牧田裕次郎，并在国立剧场床山部门，师从菱田宏治、名越诏司，修习文乐偶头（…,
鈴木 千賀子,suzuki-chikako,bio.zh_tw,bio_zh_tw,生於埼玉縣。畢業於日本大學理工學部藥學科。師從造形藝術家友永詔三、雕刻家細井良雄、木雕家牧田裕次郎，並於國立劇場床山部門，師從菱田宏治、名越詔司，修習文樂偶頭（…,
鈴木 千賀子,suzuki-chikako,bio.ko,bio_ko,"사이타마현 출생. 니혼대학 이공학부 약학과를 졸업한 뒤 조형의 길로 들어섰다. 조형작가 도모나가 쇼조(友永詔三), 조각가 호소이 요시오(細井良雄…",
鈴木 千賀子,suzuki-chikako,bio.fr,bio_fr,Née dans la préfecture de Saitama. Diplômée de la faculté des sciences et de l'i…,
鈴木 千賀子,suzuki-chikako,bio.es,bio_es,"Nacida en Saitama, Japón. Tras graduarse en Ciencias Farmacéuticas por la Facult…",
鈴木 千賀子,suzuki-chikako,message.ja,message_ja,私が彫るのは、動物や子どもたちなど愛らしいものです。木からエネルギーをいただきながら、作品を通して私自身も癒されてきました。⏎ひとすじの愛の光を多くの人の心に届…,
鈴木 千賀子,suzuki-chikako,message.en,message_en,"What I carve are gentle, beloved things — animals, children, and the like. Recei…",
鈴木 千賀子,suzuki-chikako,message.zh_cn,message_zh_cn,我所雕刻的，是动物和孩子们这样可爱的存在。一边从木中汲取能量，我也通过作品获得了疗愈。⏎我愿将一缕爱的光，送入更多人的心中。怀着对和平的祈愿，我持续创作。,
鈴木 千賀子,suzuki-chikako,message.zh_tw,message_zh_tw,我所雕刻的，是動物與孩子們這樣可愛的存在。一邊從木中汲取能量，我也透過作品獲得了療癒。⏎我願將一縷愛的光，送入更多人的心中。懷著對和平的祈願，我持續創作。,
鈴木 千賀子,suzuki-chikako,message.ko,message_ko,"제가 새기는 것은 동물과 아이들처럼 사랑스러운 존재들입니다. 나무로부터 에너지를 받으며, 작품을 통해 저 또한 치유를 받아 왔습니다.⏎한 줄기 …",
鈴木 千賀子,suzuki-chikako,message.fr,message_fr,"Je sculpte des êtres doux et aimés : des animaux, des enfants, et d'autres prése…",
鈴木 千賀子,suzuki-chikako,message.es,message_es,"Tallo seres tiernos y entrañables, como animales y niños. Al recibir la energía …",
横山 大観,yokoyama-taikan,bio.ja,bio_ja,常陸国水戸（現在の茨城県水戸市）の生まれ。東京美術学校の第一期生として学び、卒業後は同校の助教授となった。1898年、校長を辞した岡倉天心に従って学校を離れ、天…,横山大観は、茨城県水戸に生まれた日本画家。東京美術学校で岡倉天心に学び、盟友の菱田春草とともに、輪郭線を抑えて空気や光を表す描法を試みた。この描法は当初「朦朧体…
