key,fires,branded,observation,words
buy_online,低（この事業では発生しない見込み）,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送
buy_online,低（この事業では発生しない見込み）,無,ギフトカード等：この事業で提供していない機能への言及,ギフトカード
change_requested,低（この事業では発生しない見込み）,無,ギフトカード等：この事業で提供していない機能への言及,返品
company_contact_welcome_email,低（この事業では発生しない見込み）,無,検出なし,
company_location_update_payment_method,低（この事業では発生しない見込み）,無,検出なし,
contact_buyer,高,無,検出なし,
customer_account_activate,高,無,検出なし,
customer_account_reset,高,無,検出なし,
customer_account_welcome,高,無,検出なし,
customer_add_payment_method,中,無,検出なし,
customer_email_address_changed_confirmation,中,無,検出なし,
customer_marketing_confirmation,高,無,検出なし,
customer_restore_payment_method,中,無,検出なし,
customer_update_payment_method,中,無,検出なし,
draft_order_invoice,中,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,送料・配送
draft_order_invoice,中,無,注文語：作家登録の手続きを「注文」と呼ぶのが実態と合うか要判断,ご注文
failed_payment_processing,高,無,注文語：作家登録の手続きを「注文」と呼ぶのが実態と合うか要判断,カート
gift_card_confirmation,低（この事業では発生しない見込み）,無,ギフトカード等：この事業で提供していない機能への言及,ギフトカード
gift_card_notification,低（この事業では発生しない見込み）,無,ギフトカード等：この事業で提供していない機能への言及,ギフトカード
local_delivered,低（この事業では発生しない見込み）,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配達・追跡番号
local_delivered,低（この事業では発生しない見込み）,無,注文語：作家登録の手続きを「注文」と呼ぶのが実態と合うか要判断,ご注文
local_missed_delivery,低（この事業では発生しない見込み）,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配達
local_missed_delivery,低（この事業では発生しない見込み）,無,注文語：作家登録の手続きを「注文」と呼ぶのが実態と合うか要判断,ご注文
local_out_for_delivery,低（この事業では発生しない見込み）,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配達
local_out_for_delivery,低（この事業では発生しない見込み）,無,注文語：作家登録の手続きを「注文」と呼ぶのが実態と合うか要判断,ご注文
order_cancelled,中,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,送料
order_cancelled,中,無,注文語：作家登録の手続きを「注文」と呼ぶのが実態と合うか要判断,ご注文
order_confirmation,高,有,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,お届け・配送・発送・配達
order_confirmation,高,有,注文語：作家登録の手続きを「注文」と呼ぶのが実態と合うか要判断,ご注文
order_confirmation,高,有,価格の下限・別体系：価格の下限・別体系の示唆がないか要判断,より
order_confirmation,高,有,ギフトカード等：この事業で提供していない機能への言及,ギフトカード
order_edited,中,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配送
order_edited,中,無,ギフトカード等：この事業で提供していない機能への言及,ギフトカード
order_invoice,高,無,配送・物流：作家登録・システム利用料には配送物が無い。実態と合わない語,配達・配送
order_link,中,無,検出なし,
