#ラテン文字の言語(en/fr/es/de)の本文に残っている日本語の語
#分類	語	出現作家数	作家handle
機関・施設名	成田山書道美術館	39	hidai-tenrai bundo-shunkai tsujimoto-shiyu suzuki-suiken nishikawa-yasushi teshima-yukei hibino-goho aoyama-san-u ueda-sokyu kaneko-otei ando-seiku matsumoto-hosui kuwahara-suiho hidai-nankoku kawamura-kizan osawa-gakyu uno-setsuson sumiyama-nanboku tonomura-randen murakami-santo kosaka-kiseki hirotsu-unsen kobayashi-toan sugioka-kason onoe-saishu ono-gado iijima-shunkei kumagai-tsuneko kuwata-sasafune tanaka-kaido nakabayashi-gochiku kusakabe-meikaku soejima-taneomi yamaoka-tesshu kamijo-shinzan sakaki-bakuzan imai-ryosetsu takeda-kado matsui-joryu
★人名らしい（読み確認が要る）	日展	26	bundo-shunkai tsujimoto-shiyu suzuki-suiken nishikawa-yasushi hibino-goho aoyama-san-u ando-seiku matsumoto-hosui kawamura-kizan sumiyama-nanboku tonomura-randen murakami-santo kosaka-kiseki hirotsu-unsen kobayashi-toan sugioka-kason iijima-shunkei kumagai-tsuneko tanaka-kaido kamijo-shinzan imai-ryosetsu matsui-joryu miyamoto-chikkei namai-shika kurihara-rosui takagi-seikaku
機関・施設名	日本書芸院	10	tsujimoto-shiyu hibino-goho murakami-santo kosaka-kiseki hirotsu-unsen sugioka-kason sakaki-bakuzan imai-ryosetsu miyamoto-chikkei kurihara-rosui
機関・施設名	書学院	5	hidai-tenrai kuwahara-suiho hidai-nankoku osawa-gakyu hidai-shokin
機関・施設名	東京国立博物館	3	nishikawa-yasushi kobayashi-toan miyamoto-chikkei
機関・施設名	謙慎書道会	3	nishikawa-yasushi aoyama-san-u tonomura-randen
機関・施設名	書道芸術院	3	onoe-saishu osawa-chikutai shinoda-toko
機関・施設名	日本書道会	3	kusakabe-meikaku kondo-sechiku watanabe-sao
機関・施設名	墨人会	3	inoue-yuichi morita-shiryu eguchi-sogen
機関・施設名	読売書法会	3	miyamoto-chikkei kurihara-rosui takagi-seikaku
機関・施設名	佐久市立天来記念館	2	hidai-tenrai hidai-shokin
機関・施設名	台東区立書道博物館	2	aoyama-san-u nishikawa-shundo
機関・施設名	奎星会	2	ueda-sokyu uno-setsuson
機関・施設名	毎日書道会	2	kaneko-otei nakamura-sodo
機関・施設名	奈良県立美術館	2	sugioka-kason imai-ryosetsu
機関・施設名	佐賀県立博物館	2	nakabayashi-gochiku soejima-taneomi
機関・施設名	東京国立近代美術館	2	inoue-yuichi shinoda-toko
機関・施設名	全日本書道連盟	2	matsui-joryu namai-shika
機関・施設名	日本書道美術院	2	matsui-joryu nakamura-sodo
★人名らしい（読み確認が要る）	菱田宏治	1	suzuki-chikako
★人名らしい（読み確認が要る）	名越詔司	1	suzuki-chikako
機関・施設名	東方書道会	1	bundo-shunkai
機関・施設名	高知県立美術館	1	teshima-yukei
機関・施設名	独立書人団	1	teshima-yukei
機関・施設名	北海道立函館美術館	1	kaneko-otei
機関・施設名	創玄書道会	1	kaneko-otei
機関・施設名	正筆会	1	ando-seiku
機関・施設名	書海社	1	matsumoto-hosui
機関・施設名	新潟市會津八一記念館	1	aizu-yaichi
機関・施設名	平田寺川村驥山記念室	1	kawamura-kizan
機関・施設名	兵庫県立美術館	1	uno-setsuson
機関・施設名	上浦歴史民俗資料館・村上三島記念館	1	murakami-santo
機関・施設名	徳島県立文学書道館	1	kosaka-kiseki
機関・施設名	全日本篆刻連盟	1	kobayashi-toan
機関・施設名	斯華会	1	ono-gado
機関・施設名	熊谷恒子記念館	1	kumagai-tsuneko
機関・施設名	笹波会	1	kuwata-sasafune
★人名らしい（読み確認が要る）	全生庵	1	yamaoka-tesshu
機関・施設名	信州高遠美術館	1	kamijo-shinzan
機関・施設名	三重県立美術館	1	sakaki-bakuzan
機関・施設名	京都国立近代美術館	1	inoue-yuichi
機関・施設名	明治書道会	1	nishikawa-shundo
その他	日下部鳴鶴門	1	niwa-kaikaku
機関・施設名	静岡県立美術館	1	kondo-sechiku
機関・施設名	談書会	1	kondo-sechiku
機関・施設名	泰東書道院	1	takeda-kado
機関・施設名	寒玉書道会	1	miyamoto-chikkei
機関・施設名	日本板画院	1	osawa-chikutai
機関・施設名	江戸東京博物館	1	nakamura-sodo
機関・施設名	モスクワ国立美術館	1	nakamura-sodo
機関・施設名	貞香会	1	nakamura-sodo
機関・施設名	古河市篆刻美術館	1	namai-shika
機関・施設名	ふくやま書道美術館	1	kurihara-rosui
機関・施設名	岡山県立美術館	1	takagi-seikaku
機関・施設名	朝陽書道会	1	takagi-seikaku
機関・施設名	国立国際美術館	1	morita-shiryu
機関・施設名	新潟県立近代美術館	1	eguchi-sogen
機関・施設名	相田みつを美術館	1	aida-mitsuo
