区分,小分類,handle,氏名(日本語),現行ローマ字,読み(かな),規則から作った形,判定の理由
規則どおり,,suzuki-chikako,鈴木 千賀子,Suzuki Chikako,すずき ちかこ,,符号つきで一致
要裁定,(a) 長音の書き方,kano-hogai,狩野 芳崖,Kano Hogai,かのう ほうがい,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,hashimoto-gaho,橋本 雅邦,Hashimoto Gaho,はしもと がほう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,tomioka-tessai,富岡 鉄斎,Tomioka Tessai,とみおか てっさい,,符号つきで一致
規則どおり,,yokoyama-taikan,横山 大観,Yokoyama Taikan,よこやま たいかん,,符号つきで一致
要裁定,(a) 長音の書き方,hishida-shunso,菱田 春草,Hishida Shunso,ひしだ しゅんそう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,shimomura-kanzan,下村 観山,Shimomura Kanzan,しもむら かんざん,,符号つきで一致
要裁定,(a) 長音の書き方,saigo-kogetsu,西郷 孤月,Saigo Kogetsu,さいごう こげつ,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,kimura-buzan,木村 武山,Kimura Buzan,きむら ぶざん,,符号つきで一致
要裁定,(a) 長音の書き方,imamura-shiko,今村 紫紅,Imamura Shiko,いまむら しこう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,omoda-seiju,小茂田 青樹,Omoda Seiju,おもだ せいじゅ,,符号つきで一致
規則どおり,,yasuda-yukihiko,安田 靫彦,Yasuda Yukihiko,やすだ ゆきひこ,,符号つきで一致
規則どおり,,maeda-seison,前田 青邨,Maeda Seison,まえだ せいそん,,符号つきで一致
規則どおり,,kobayashi-kokei,小林 古径,Kobayashi Kokei,こばやし こけい,,符号つきで一致
要裁定,(a) 長音の書き方,hayami-gyoshu,速水 御舟,Hayami Gyoshu,はやみ ぎょしゅう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,nakamura-gakuryo,中村 岳陵,Nakamura Gakuryo,なかむら がくりょう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,kawabata-ryushi,川端 龍子,Kawabata Ryushi,かわばた りゅうし,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,yokoyama-misao,横山 操,Yokoyama Misao,よこやま みさお,,符号つきで一致
要裁定,(a) 長音の書き方,takeuchi-seiho,竹内 栖鳳,Takeuchi Seiho,たけうち せいほう,,長音を書かない形（規則の2つの書き方のどちらでもない）
