handle,氏名(日本語),読み(かな),変換前,変換後
kano-hogai,狩野 芳崖,かのう ほうがい,Kano Hogai,Kanō Hōgai
hashimoto-gaho,橋本 雅邦,はしもと がほう,Hashimoto Gaho,Hashimoto Gahō
hishida-shunso,菱田 春草,ひしだ しゅんそう,Hishida Shunso,Hishida Shunsō
saigo-kogetsu,西郷 孤月,さいごう こげつ,Saigo Kogetsu,Saigō Kogetsu
imamura-shiko,今村 紫紅,いまむら しこう,Imamura Shiko,Imamura Shikō
hayami-gyoshu,速水 御舟,はやみ ぎょしゅう,Hayami Gyoshu,Hayami Gyoshū
nakamura-gakuryo,中村 岳陵,なかむら がくりょう,Nakamura Gakuryo,Nakamura Gakuryō
kawabata-ryushi,川端 龍子,かわばた りゅうし,Kawabata Ryushi,Kawabata Ryūshi
takeuchi-seiho,竹内 栖鳳,たけうち せいほう,Takeuchi Seiho,Takeuchi Seihō
uemura-shoen,上村 松園,うえむら しょうえん,Uemura Shoen,Uemura Shōen
nishiyama-suisho,西山 翠嶂,にしやま すいしょう,Nishiyama Suisho,Nishiyama Suishō
ono-chikkyo,小野 竹喬,おの ちっきょう,Ono Chikkyo,Ono Chikkyō
irie-hako,入江 波光,いりえ はこう,Irie Hako,Irie Hakō
sakakibara-shiho,榊原 紫峰,さかきばら しほう,Sakakibara Shiho,Sakakibara Shihō
domoto-insho,堂本 印象,どうもと いんしょう,Domoto Insho,Dōmoto Inshō
fukuda-heihachiro,福田 平八郎,ふくだ へいはちろう,Fukuda Heihachiro,Fukuda Heihachirō
yamaguchi-kayo,山口 華楊,やまぐち かよう,Yamaguchi Kayo,Yamaguchi Kayō
nakamura-daizaburo,中村 大三郎,なかむら だいざぶろう,Nakamura Daizaburo,Nakamura Daizaburō
kainosho-tadaoto,甲斐荘 楠音,かいのしょう ただおと,Kainosho Tadaoto,Kainoshō Tadaoto
ito-shinsui,伊東 深水,いとう しんすい,Ito Shinsui,Itō Shinsui
kawai-gyokudo,川合 玉堂,かわい ぎょくどう,Kawai Gyokudo,Kawai Gyokudō
yamaguchi-hoshun,山口 蓬春,やまぐち ほうしゅん,Yamaguchi Hoshun,Yamaguchi Hōshun
gokura-senjin,郷倉 千靱,ごうくら せんじん,Gokura Senjin,Gōkura Senjin
kawasaki-shoko,川崎 小虎,かわさき しょうこ,Kawasaki Shoko,Kawasaki Shōko
kodama-kibo,児玉 希望,こだま きぼう,Kodama Kibo,Kodama Kibō
yamamoto-kyujin,山本 丘人,やまもと きゅうじん,Yamamoto Kyujin,Yamamoto Kyūjin
fukuda-toyoshiro,福田 豊四郎,ふくだ とよしろう,Fukuda Toyoshiro,Fukuda Toyoshirō
kayama-matazo,加山 又造,かやま またぞう,Kayama Matazo,Kayama Matazō
ikeda-yoson,池田 遙邨,いけだ ようそん,Ikeda Yoson,Ikeda Yōson
uemura-shoko,上村 松篁,うえむら しょうこう,Uemura Shoko,Uemura Shōkō
goto-sumio,後藤 純男,ごとう すみお,Goto Sumio,Gotō Sumio
asai-chu,浅井 忠,あさい ちゅう,Asai Chu,Asai Chū
yamamoto-hosui,山本 芳翠,やまもと ほうすい,Yamamoto Hosui,Yamamoto Hōsui
harada-naojiro,原田 直次郎,はらだ なおじろう,Harada Naojiro,Harada Naojirō
kume-keiichiro,久米 桂一郎,くめ けいいちろう,Kume Keiichiro,Kume Keiichirō
okada-saburosuke,岡田 三郎助,おかだ さぶろうすけ,Okada Saburosuke,Okada Saburōsuke
sakamoto-hanjiro,坂本 繁二郎,さかもと はんじろう,Sakamoto Hanjiro,Sakamoto Hanjirō
