作家,列,台帳A(Vault)の値,台帳B(デスク)の値,由来の判定
"狩野芳崖","名前(ローマ字)","Kanō Hōgai","Kano Hogai","第39便A案266名：一覧の from/to と完全一致"
"橋本雅邦","名前(ローマ字)","Hashimoto Gahō","Hashimoto Gaho","第39便A案266名：一覧の from/to と完全一致"
"菱田春草","名前(ローマ字)","Hishida Shunsō","Hishida Shunso","第39便A案266名：一覧の from/to と完全一致"
"西郷孤月","名前(ローマ字)","Saigō Kogetsu","Saigo Kogetsu","第39便A案266名：一覧の from/to と完全一致"
"今村紫紅","名前(ローマ字)","Imamura Shikō","Imamura Shiko","第39便A案266名：一覧の from/to と完全一致"
"速水御舟","名前(ローマ字)","Hayami Gyoshū","Hayami Gyoshu","第39便A案266名：一覧の from/to と完全一致"
"中村岳陵","名前(ローマ字)","Nakamura Gakuryō","Nakamura Gakuryo","第39便A案266名：一覧の from/to と完全一致"
"川端龍子","名前(ローマ字)","Kawabata Ryūshi","Kawabata Ryushi","第39便A案266名：一覧の from/to と完全一致"
"竹内栖鳳","名前(ローマ字)","Takeuchi Seihō","Takeuchi Seiho","第39便A案266名：一覧の from/to と完全一致"
"上村松園","名前(ローマ字)","Uemura Shōen","Uemura Shoen","第39便A案266名：一覧の from/to と完全一致"
"西山翠嶂","名前(ローマ字)","Nishiyama Suishō","Nishiyama Suisho","第39便A案266名：一覧の from/to と完全一致"
"小野竹喬","名前(ローマ字)","Ono Chikkyō","Ono Chikkyo","第39便A案266名：一覧の from/to と完全一致"
"入江波光","名前(ローマ字)","Irie Hakō","Irie Hako","第39便A案266名：一覧の from/to と完全一致"
"榊原紫峰","名前(ローマ字)","Sakakibara Shihō","Sakakibara Shiho","第39便A案266名：一覧の from/to と完全一致"
"堂本印象","名前(ローマ字)","Dōmoto Inshō","Domoto Insho","第39便A案266名：一覧の from/to と完全一致"
"福田平八郎","名前(ローマ字)","Fukuda Heihachirō","Fukuda Heihachiro","第39便A案266名：一覧の from/to と完全一致"
"山口華楊","名前(ローマ字)","Yamaguchi Kayō","Yamaguchi Kayo","第39便A案266名：一覧の from/to と完全一致"
"中村大三郎","名前(ローマ字)","Nakamura Daizaburō","Nakamura Daizaburo","第39便A案266名：一覧の from/to と完全一致"
"甲斐荘楠音","名前(ローマ字)","Kainoshō Tadaoto","Kainosho Tadaoto","第39便A案266名：一覧の from/to と完全一致"
"伊東深水","名前(ローマ字)","Itō Shinsui","Ito Shinsui","第39便A案266名：一覧の from/to と完全一致"
"川合玉堂","名前(ローマ字)","Kawai Gyokudō","Kawai Gyokudo","第39便A案266名：一覧の from/to と完全一致"
"山口蓬春","名前(ローマ字)","Yamaguchi Hōshun","Yamaguchi Hoshun","第39便A案266名：一覧の from/to と完全一致"
"郷倉千靱","名前(ローマ字)","Gōkura Senjin","Gokura Senjin","第39便A案266名：一覧の from/to と完全一致"
"川崎小虎","名前(ローマ字)","Kawasaki Shōko","Kawasaki Shoko","第39便A案266名：一覧の from/to と完全一致"
"児玉希望","名前(ローマ字)","Kodama Kibō","Kodama Kibo","第39便A案266名：一覧の from/to と完全一致"
"山本丘人","名前(ローマ字)","Yamamoto Kyūjin","Yamamoto Kyujin","第39便A案266名：一覧の from/to と完全一致"
"福田豊四郎","名前(ローマ字)","Fukuda Toyoshirō","Fukuda Toyoshiro","第39便A案266名：一覧の from/to と完全一致"
"加山又造","名前(ローマ字)","Kayama Matazō","Kayama Matazo","第39便A案266名：一覧の from/to と完全一致"
"池田遙邨","名前(ローマ字)","Ikeda Yōson","Ikeda Yoson","第39便A案266名：一覧の from/to と完全一致"
"上村松篁","名前(ローマ字)","Uemura Shōkō","Uemura Shoko","第39便A案266名：一覧の from/to と完全一致"
"後藤純男","名前(ローマ字)","Gotō Sumio","Goto Sumio","第39便A案266名：一覧の from/to と完全一致"
"浅井忠","名前(ローマ字)","Asai Chū","Asai Chu","第39便A案266名：一覧の from/to と完全一致"
"山本芳翠","名前(ローマ字)","Yamamoto Hōsui","Yamamoto Hosui","第39便A案266名：一覧の from/to と完全一致"
"原田直次郎","名前(ローマ字)","Harada Naojirō","Harada Naojiro","第39便A案266名：一覧の from/to と完全一致"
"久米桂一郎","名前(ローマ字)","Kume Keiichirō","Kume Keiichiro","第39便A案266名：一覧の from/to と完全一致"
"岡田三郎助","名前(ローマ字)","Okada Saburōsuke","Okada Saburosuke","第39便A案266名：一覧の from/to と完全一致"
"坂本繁二郎","名前(ローマ字)","Sakamoto Hanjirō","Sakamoto Hanjiro","第39便A案266名：一覧の from/to と完全一致"
"萬鉄五郎","名前(ローマ字)","Yorozu Tetsugorō","Yorozu Tetsugoro","第39便A案266名：一覧の from/to と完全一致"
"岸田劉生","名前(ローマ字)","Kishida Ryūsei","Kishida Ryusei","第39便A案266名：一覧の from/to と完全一致"
"木村荘八","名前(ローマ字)","Kimura Shōhachi","Kimura Shohachi","第39便A案266名：一覧の from/to と完全一致"
"関根正二","名前(ローマ字)","Sekine Shōji","Sekine Shoji","第39便A案266名：一覧の from/to と完全一致"
"佐伯祐三","名前(ローマ字)","Saeki Yūzō","Saeki Yuzo","第39便A案266名：一覧の from/to と完全一致"
"安井曾太郎","名前(ローマ字)","Yasui Sōtarō","Yasui Sotaro","第39便A案266名：一覧の from/to と完全一致"
"梅原龍三郎","名前(ローマ字)","Umehara Ryūzaburō","Umehara Ryuzaburo","第39便A案266名：一覧の from/to と完全一致"
"須田国太郎","名前(ローマ字)","Suda Kunitarō","Suda Kunitaro","第39便A案266名：一覧の from/to と完全一致"
"三岸好太郎","名前(ローマ字)","Migishi Kōtarō","Migishi Kotaro","第39便A案266名：一覧の from/to と完全一致"
"鳥海青児","名前(ローマ字)","Chōkai Seiji","Chokai Seiji","第39便A案266名：一覧の from/to と完全一致"
"児島善三郎","名前(ローマ字)","Kojima Zenzaburō","Kojima Zenzaburo","第39便A案266名：一覧の from/to と完全一致"
"福沢一郎","名前(ローマ字)","Fukuzawa Ichirō","Fukuzawa Ichiro","第39便A案266名：一覧の from/to と完全一致"
"小磯良平","名前(ローマ字)","Koiso Ryōhei","Koiso Ryohei","第39便A案266名：一覧の from/to と完全一致"
"東郷青児","名前(ローマ字)","Tōgō Seiji","Togo Seiji","第39便A案266名：一覧の from/to と完全一致"
"宮本三郎","名前(ローマ字)","Miyamoto Saburō","Miyamoto Saburo","第39便A案266名：一覧の from/to と完全一致"
"小山敬三","名前(ローマ字)","Koyama Keizō","Koyama Keizo","第39便A案266名：一覧の from/to と完全一致"
"山下新太郎","名前(ローマ字)","Yamashita Shintarō","Yamashita Shintaro","第39便A案266名：一覧の from/to と完全一致"
"高畠達四郎","名前(ローマ字)","Takabatake Tatsushirō","Takabatake Tatsushiro","第39便A案266名：一覧の from/to と完全一致"
"里見勝蔵","名前(ローマ字)","Satomi Katsuzō","Satomi Katsuzo","第39便A案266名：一覧の from/to と完全一致"
"鈴木信太郎","名前(ローマ字)","Suzuki Shintarō","Suzuki Shintaro","第39便A案266名：一覧の from/to と完全一致"
"寺内萬治郎","名前(ローマ字)","Terauchi Manjirō","Terauchi Manjiro","第39便A案266名：一覧の from/to と完全一致"
"中村研一","名前(ローマ字)","Nakamura Ken'ichi","Nakamura Kenichi","復帰便5名：一覧の from/to と完全一致"
"大下藤次郎","名前(ローマ字)","Ōshita Tōjirō","Oshita Tojiro","第39便A案266名：一覧の from/to と完全一致"
"麻生三郎","名前(ローマ字)","Asō Saburō","Aso Saburo","第39便A案266名：一覧の from/to と完全一致"
"井上長三郎","名前(ローマ字)","Inoue Chōzaburō","Inoue Chozaburo","第39便A案266名：一覧の from/to と完全一致"
"野口弥太郎","名前(ローマ字)","Noguchi Yatarō","Noguchi Yataro","第39便A案266名：一覧の from/to と完全一致"
"豊道春海","名前(ローマ字)","Bundō Shunkai","Bundo Shunkai","第39便A案266名：一覧の from/to と完全一致"
"辻本史邑","名前(ローマ字)","Tsujimoto Shiyū","Tsujimoto Shiyu","第39便A案266名：一覧の from/to と完全一致"
"手島右卿","名前(ローマ字)","Teshima Yūkei","Teshima Yukei","第39便A案266名：一覧の from/to と完全一致"
"日比野五鳳","名前(ローマ字)","Hibino Gohō","Hibino Goho","第39便A案266名：一覧の from/to と完全一致"
"上田桑鳩","名前(ローマ字)","Ueda Sōkyū","Ueda Sokyu","第39便A案266名：一覧の from/to と完全一致"
"金子鷗亭","名前(ローマ字)","Kaneko Ōtei","Kaneko Otei","第39便A案266名：一覧の from/to と完全一致"
"安東聖空","名前(ローマ字)","Andō Seikū","Ando Seiku","第39便A案266名：一覧の from/to と完全一致"
"松本芳翠","名前(ローマ字)","Matsumoto Hōsui","Matsumoto Hosui","第39便A案266名：一覧の from/to と完全一致"
"桑原翠邦","名前(ローマ字)","Kuwahara Suihō","Kuwahara Suiho","第39便A案266名：一覧の from/to と完全一致"
"大澤雅休","名前(ローマ字)","Ōsawa Gakyū","Osawa Gakyu","第39便A案266名：一覧の from/to と完全一致"
"村上三島","名前(ローマ字)","Murakami Santō","Murakami Santo","第39便A案266名：一覧の from/to と完全一致"
"尾上柴舟","名前(ローマ字)","Onoe Saishū","Onoe Saishu","第39便A案266名：一覧の from/to と完全一致"
"小野鵞堂","名前(ローマ字)","Ono Gadō","Ono Gado","第39便A案266名：一覧の from/to と完全一致"
"田中塊堂","名前(ローマ字)","Tanaka Kaidō","Tanaka Kaido","第39便A案266名：一覧の from/to と完全一致"
"山岡鉄舟","名前(ローマ字)","Yamaoka Tesshū","Yamaoka Tesshu","第39便A案266名：一覧の from/to と完全一致"
"北大路魯山人","名前(ローマ字)","Kitaōji Rosanjin","Kitaoji Rosanjin","第39便A案266名：一覧の from/to と完全一致"
"上條信山","名前(ローマ字)","Kamijō Shinzan","Kamijo Shinzan","第39便A案266名：一覧の from/to と完全一致"
"今井凌雪","名前(ローマ字)","Imai Ryōsetsu","Imai Ryosetsu","第39便A案266名：一覧の from/to と完全一致"
"井上有一","名前(ローマ字)","Inoue Yūichi","Inoue Yuichi","第39便A案266名：一覧の from/to と完全一致"
"高村光雲","名前(ローマ字)","Takamura Kōun","Takamura Koun","第39便A案266名：一覧の from/to と完全一致"
"高村光太郎","名前(ローマ字)","Takamura Kōtarō","Takamura Kotaro","第39便A案266名：一覧の from/to と完全一致"
"北村西望","名前(ローマ字)","Kitamura Seibō","Kitamura Seibo","第39便A案266名：一覧の from/to と完全一致"
"平櫛田中","名前(ローマ字)","Hirakushi Denchū","Hirakushi Denchu","第39便A案266名：一覧の from/to と完全一致"
"中原悌二郎","名前(ローマ字)","Nakahara Teijirō","Nakahara Teijiro","第39便A案266名：一覧の from/to と完全一致"
"石井鶴三","名前(ローマ字)","Ishii Tsuruzō","Ishii Tsuruzo","第39便A案266名：一覧の from/to と完全一致"
"新海竹太郎","名前(ローマ字)","Shinkai Taketarō","Shinkai Taketaro","第39便A案266名：一覧の from/to と完全一致"
"山崎朝雲","名前(ローマ字)","Yamazaki Chōun","Yamazaki Choun","第39便A案266名：一覧の from/to と完全一致"
"内藤伸","名前(ローマ字)","Naitō Shin","Naito Shin","第39便A案266名：一覧の from/to と完全一致"
"吉田三郎","名前(ローマ字)","Yoshida Saburō","Yoshida Saburo","第39便A案266名：一覧の from/to と完全一致"
"加藤顕清","名前(ローマ字)","Katō Kensei","Kato Kensei","第39便A案266名：一覧の from/to と完全一致"
"佐藤忠良","名前(ローマ字)","Satō Chūryō","Sato Churyo","第39便A案266名：一覧の from/to と完全一致"
"本郷新","名前(ローマ字)","Hongō Shin","Hongo Shin","第39便A案266名：一覧の from/to と完全一致"
"澤田政廣","名前(ローマ字)","Sawada Seikō","Sawada Seiko","第39便A案266名：一覧の from/to と完全一致"
"圓鍔勝三","名前(ローマ字)","Entsuba Katsuzō","Entsuba Katsuzo","第39便A案266名：一覧の from/to と完全一致"
"雨宮治郎","名前(ローマ字)","Amemiya Jirō","Amemiya Jiro","第39便A案266名：一覧の from/to と完全一致"
"桜井祐一","名前(ローマ字)","Sakurai Yūichi","Sakurai Yuichi","第39便A案266名：一覧の from/to と完全一致"
"向井良吉","名前(ローマ字)","Mukai Ryōkichi","Mukai Ryokichi","第39便A案266名：一覧の from/to と完全一致"
"保田龍門","名前(ローマ字)","Yasuda Ryūmon","Yasuda Ryumon","第39便A案266名：一覧の from/to と完全一致"
"宮川香山","名前(ローマ字)","Miyagawa Kōzan","Miyagawa Kozan","第39便A案266名：一覧の from/to と完全一致"
"濱田庄司","名前(ローマ字)","Hamada Shōji","Hamada Shoji","第39便A案266名：一覧の from/to と完全一致"
"河井寛次郎","名前(ローマ字)","Kawai Kanjirō","Kawai Kanjiro","第39便A案266名：一覧の from/to と完全一致"
"荒川豊蔵","名前(ローマ字)","Arakawa Toyozō","Arakawa Toyozo","第39便A案266名：一覧の from/to と完全一致"
"金重陶陽","名前(ローマ字)","Kaneshige Tōyō","Kaneshige Toyo","第39便A案266名：一覧の from/to と完全一致"
"加藤土師萌","名前(ローマ字)","Katō Hajime","Kato Hajime","第39便A案266名：一覧の from/to と完全一致"
"三輪休和","名前(ローマ字)","Miwa Kyūwa","Miwa Kyuwa","第39便A案266名：一覧の from/to と完全一致"
"藤原雄","名前(ローマ字)","Fujiwara Yū","Fujiwara Yu","第39便A案266名：一覧の from/to と完全一致"
"山本陶秀","名前(ローマ字)","Yamamoto Tōshū","Yamamoto Toshu","第39便A案266名：一覧の from/to と完全一致"
"近藤悠三","名前(ローマ字)","Kondō Yūzō","Kondo Yuzo","第39便A案266名：一覧の from/to と完全一致"
"加藤卓男","名前(ローマ字)","Katō Takuo","Kato Takuo","第39便A案266名：一覧の from/to と完全一致"
"田村耕一","名前(ローマ字)","Tamura Kōichi","Tamura Koichi","第39便A案266名：一覧の from/to と完全一致"
"松井康成","名前(ローマ字)","Matsui Kōsei","Matsui Kosei","第39便A案266名：一覧の from/to と完全一致"
"島岡達三","名前(ローマ字)","Shimaoka Tatsuzō","Shimaoka Tatsuzo","第39便A案266名：一覧の from/to と完全一致"
"加藤孝造","名前(ローマ字)","Katō Kōzō","Kato Kozo","第39便A案266名：一覧の from/to と完全一致"
"加守田章二","名前(ローマ字)","Kamoda Shōji","Kamoda Shoji","第39便A案266名：一覧の from/to と完全一致"
"稲垣稔次郎","名前(ローマ字)","Inagaki Toshijirō","Inagaki Toshijiro","第39便A案266名：一覧の from/to と完全一致"
"森口華弘","名前(ローマ字)","Moriguchi Kakō","Moriguchi Kako","第39便A案266名：一覧の from/to と完全一致"
"小宮康助","名前(ローマ字)","Komiya Kōsuke","Komiya Kosuke","第39便A案266名：一覧の from/to と完全一致"
"宗廣力三","名前(ローマ字)","Munehiro Rikizō","Munehiro Rikizo","第39便A案266名：一覧の from/to と完全一致"
"鎌倉芳太郎","名前(ローマ字)","Kamakura Yoshitarō","Kamakura Yoshitaro","第39便A案266名：一覧の from/to と完全一致"
