作家	handle	人名	欄	言語	該当文（現表記を含む全文）	根拠の有無
鈴木 千賀子	suzuki-chikako	牧田裕次郎	bio	en	She studied under the sculptural artist Shozo Tomonaga, the sculptor Yoshio Hosoi, and the wood sculptor Yujiro Makita.	NDL0・東文研（物故者/年史）0・APJ0
鈴木 千賀子	suzuki-chikako	牧田裕次郎	bio	fr	Elle s'est formée auprès de l'artiste plasticien Shōzō Tomonaga, du sculpteur Yoshio Hosoi et du sculpteur sur bois Yūjirō Makita.	NDL0・東文研（物故者/年史）0・APJ0
鈴木 千賀子	suzuki-chikako	牧田裕次郎	bio	es	Se formó con el artista plástico Shōzō Tomonaga, el escultor Yoshio Hosoi y el tallista en madera Yūjirō Makita.	NDL0・東文研（物故者/年史）0・APJ0
鈴木 千賀子	suzuki-chikako	牧田裕次郎	bio	de	Sie lernte bei dem Objektkünstler Shōzō Tomonaga, dem Bildhauer Yoshio Hosoi und dem Holzbildhauer Yūjirō Makita.	NDL0・東文研（物故者/年史）0・APJ0
鈴木 千賀子	suzuki-chikako	牧田裕次郎	bio	ko	조형 작가 도모나가 쇼조(友永詔三), 조각가 호소이 요시오(細井良雄), 목조각가 마키타 유지로(牧田裕次郎)에게 배웠다.	NDL0・東文研（物故者/年史）0・APJ0
鈴木 千賀子	suzuki-chikako	牧田裕次郎	bio	zh_cn	师从造型艺术家友永诏三、雕塑家细井良雄、木雕家牧田裕次郎。	NDL0・東文研（物故者/年史）0・APJ0
鈴木 千賀子	suzuki-chikako	牧田裕次郎	bio	zh_tw	師從造型藝術家友永詔三、雕塑家細井良雄、木雕家牧田裕次郎。	NDL0・東文研（物故者/年史）0・APJ0
鈴木 千賀子	suzuki-chikako	牧田裕次郎	bio	ja	造形作家・友永詔三、彫刻家・細井良雄、木彫家・牧田裕次郎に師事。	NDL0・東文研（物故者/年史）0・APJ0
鈴木 千賀子	suzuki-chikako	名越詔司	bio	en	At the National Theatre she trained under 菱田宏治 and 名越詔司, first as a tokoyama — the specialist who dresses and styles the wigs of Bunraku puppets — and then in making the puppet heads themselves (kashira).	NDL0・東文研0・APJ0・一般検索でも該当なし
鈴木 千賀子	suzuki-chikako	名越詔司	bio	fr	Au Théâtre national du Japon, elle a été formée par 菱田宏治 et 名越詔司, d'abord au métier de tokoyama puis à la fabrication des têtes de marionnettes (kashira).	NDL0・東文研0・APJ0・一般検索でも該当なし
鈴木 千賀子	suzuki-chikako	名越詔司	bio	es	En el Teatro Nacional de Japón se formó con 菱田宏治 y 名越詔司: primero en el oficio de tokoyama de títeres del bunraku y después en la elaboración de las cabezas de los títeres (kashira).	NDL0・東文研0・APJ0・一般検索でも該当なし
鈴木 千賀子	suzuki-chikako	名越詔司	bio	de	Am Nationaltheater (Kokuritsu Gekijō) lernte sie bei 菱田宏治 und 名越詔司 zunächst die Arbeit als Tokoyama für Bunraku-Puppen und anschließend die Herstellung der Puppenköpfe (Kashira).	NDL0・東文研0・APJ0・一般検索でも該当なし
鈴木 千賀子	suzuki-chikako	名越詔司	bio	ko	국립극장(国立劇場)에서는 菱田宏治, 名越詔司에게 배웠다.	NDL0・東文研0・APJ0・一般検索でも該当なし
鈴木 千賀子	suzuki-chikako	名越詔司	bio	zh_cn	又在国立剧场师从菱田宏治、名越诏司，先担任文乐人偶的床山，后修习人偶头部的制作。	NDL0・東文研0・APJ0・一般検索でも該当なし
鈴木 千賀子	suzuki-chikako	名越詔司	bio	zh_tw	又於國立劇場師從菱田宏治、名越詔司，先擔任文樂人偶的床山，後修習人偶頭部的製作。	NDL0・東文研0・APJ0・一般検索でも該当なし
鈴木 千賀子	suzuki-chikako	名越詔司	bio	ja	国立劇場では菱田宏治氏・名越詔司氏に師事し、文楽人形の床山を経て、首（かしら）の制作の修行を積んだ。	NDL0・東文研0・APJ0・一般検索でも該当なし
鈴木 千賀子	suzuki-chikako	菱田宏治	bio	en	At the National Theatre she trained under 菱田宏治 and 名越詔司, first as a tokoyama — the specialist who dresses and styles the wigs of Bunraku puppets — and then in making the puppet heads themselves (kashira).	NDL0（書名内の言及のみ・読み欄なし）・東文研0・APJ0
