人名	群	他作家の本文での出現（欄数）	本人自身の欄での出現	根拠／備考
アンリ・マティス	外国人	1	0	カタカナ表記の外国人名（読みではなく綴りの問題）
エミール・クラウス	外国人	1	0	カタカナ表記の外国人名（読みではなく綴りの問題）
エロシェンコ	C	2	0	人物＝Vasili Eroshenko。当社の綴りは作品名由来の Erosshenko で、一般的な綴りと異なる（一次資料未確認）
オーギュスト・ペレ	外国人	1	0	カタカナ表記の外国人名（読みではなく綴りの問題）
オーギュスト・ペレー	外国人	1	0	カタカナ表記の外国人名（読みではなく綴りの問題）
カール・ヤスパース	外国人	1	0	カタカナ表記の外国人名（読みではなく綴りの問題）
ガンジー	外国人	2	0	カタカナ表記の外国人名（読みではなく綴りの問題）
ギンズ	外国人	1	0	カタカナ表記の外国人名（読みではなく綴りの問題）
コルビュジエ	外国人	6	0	カタカナ表記の外国人名（読みではなく綴りの問題）
ゴーギャン	外国人	2	0	カタカナ表記の外国人名（読みではなく綴りの問題）
ジョサイア・コンドル	外国人	2	0	カタカナ表記の外国人名（読みではなく綴りの問題）
セザンヌ	外国人	2	0	カタカナ表記の外国人名（読みではなく綴りの問題）
ピカソ	外国人	2	0	カタカナ表記の外国人名（読みではなく綴りの問題）
ピュリツァー	外国人	1	0	カタカナ表記の外国人名（読みではなく綴りの問題）
フェノロサ	外国人	2	0	カタカナ表記の外国人名（読みではなく綴りの問題）
フォンタネージ	外国人	1	0	カタカナ表記の外国人名（読みではなく綴りの問題）
ブランクーシ	外国人	1	0	カタカナ表記の外国人名（読みではなく綴りの問題）
ブールデル	外国人	5	0	カタカナ表記の外国人名（読みではなく綴りの問題）
マイヨール	外国人	3	0	カタカナ表記の外国人名（読みではなく綴りの問題）
マティス	外国人	4	0	カタカナ表記の外国人名（読みではなく綴りの問題）
マドリン・ギンズ	外国人	1	0	カタカナ表記の外国人名（読みではなく綴りの問題）
マリノ・マリーニ	外国人	1	0	カタカナ表記の外国人名（読みではなく綴りの問題）
ラファエル・コラン	外国人	2	0	カタカナ表記の外国人名（読みではなく綴りの問題）
ルノワール	外国人	3	0	カタカナ表記の外国人名（読みではなく綴りの問題）
レンブラント	外国人	1	0	カタカナ表記の外国人名（読みではなく綴りの問題）
ロダン	外国人	12	0	カタカナ表記の外国人名（読みではなく綴りの問題）
ロマン・ロラン	外国人	2	0	カタカナ表記の外国人名（読みではなく綴りの問題）
ヴァルター・グロピウス	外国人	1	0	カタカナ表記の外国人名（読みではなく綴りの問題）
ヴラマンク	外国人	5	0	カタカナ表記の外国人名（読みではなく綴りの問題）
三岸好太郎	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（migishi-kotaro ＝ Migishi Kōtarō）
三岸節子	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（migishi-setsuko ＝ Migishi Setsuko）
三島由紀夫	A	1	0	NDL典拠 ミシマ, ユキオ
三遊亭円朝	A	1	0	NDL典拠 サンユウテイ, エンチョウ
上村松園	在籍	5	1	掲載作家本人ページの name_en / name_kana で管理済み（uemura-shoen ＝ Uemura Shōen）
上田桑鳩	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（ueda-sokyu ＝ Ueda Sōkyū）
上野彦馬	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（ueno-hikoma ＝ Ueno Hikoma）
下村観山	在籍	3	1	掲載作家本人ページの name_en / name_kana で管理済み（shimomura-kanzan ＝ Shimomura Kanzan）
中原悌二郎	在籍	0	1	掲載作家本人ページの name_en / name_kana で管理済み（nakahara-teijiro ＝ Nakahara Teijirō）
中島来章	C	1	0	NDL0・東文研0／APJ収蔵記録 Nakajima Raisho は機械翻訳の明示あり
中村彝	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（nakamura-tsune ＝ Nakamura Tsune）
中村研一	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（nakamura-kenichi ＝ Nakamura Ken'ichi）
中西夏之	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（natsuyuki-nakanishi ＝ Nakanishi Natsuyuki）
丸木位里	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（maruki-iri ＝ Maruki Iri）
丸木俊	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（maruki-toshi ＝ Maruki Toshi）
久米邦武	B	1	0	NDL典拠 クメ, クニタケ
五姓田芳柳	B	1	0	NDL典拠 ゴセダ, ホウリュウ
今尾景年	B	1	0	NDL典拠 イマオ, ケイネン
今村紫紅	在籍	3	1	掲載作家本人ページの name_en / name_kana で管理済み（imamura-shiko ＝ Imamura Shikō）
伊東忠太	在籍	2	0	掲載作家本人ページの name_en / name_kana で管理済み（ito-chuta ＝ Itō Chūta）
伊東深水	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（ito-shinsui ＝ Itō Shinsui）
休和	B	1	1	NDL典拠 ミワ, キュウワ
休雪	略称	4	0	号・姓のみの略称（本体の読みに従属）
佐伯祐三	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（saeki-yuzo ＝ Saeki Yūzō）
佐藤忠良	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（sato-churyo ＝ Satō Chūryō）
佐野利器	在籍	3	0	掲載作家本人ページの name_en / name_kana で管理済み（sano-toshikata ＝ Sano Toshikata）
光雲	略称	3	0	号・姓のみの略称（本体の読みに従属）
児島善三郎	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（kojima-zenzaburo ＝ Kojima Zenzaburō）
児玉希望	在籍	1	1	掲載作家本人ページの name_en / name_kana で管理済み（kodama-kibo ＝ Kodama Kibō）
八木一夫	在籍	2	1	掲載作家本人ページの name_en / name_kana で管理済み（yagi-kazuo ＝ Yagi Kazuo）
内田祥三	在籍	3	0	掲載作家本人ページの name_en / name_kana で管理済み（uchida-yoshikazu ＝ Uchida Yoshikazu）
内田鶴雲	B	1	0	NDL典拠 ウチダ, カクウン
内藤多仲	B	1	0	NDL典拠 ナイトウ, タチュウ
前川國男	在籍	4	1	掲載作家本人ページの name_en / name_kana で管理済み（maekawa-kunio ＝ Maekawa Kunio）
