そのページの作家	handle	欄	本文中の人名	本人ページの公式表記	言語	判定	本文での表記
今村 紫紅	imamura-shiko	bio	小茂田青樹	Omoda Seiju	en	③長音/アポストロフィ違い	~Omoda Seiju
今村 紫紅	imamura-shiko	bio	小茂田青樹	Omoda Seiju	fr	③長音/アポストロフィ違い	~Omoda Seiju
今村 紫紅	imamura-shiko	bio	小茂田青樹	Omoda Seiju	es	③長音/アポストロフィ違い	~Omoda Seiju
今村 紫紅	imamura-shiko	bio	小茂田青樹	Omoda Seiju	de	③長音/アポストロフィ違い	~Omoda Seiju
金山 明	akira-kanayama	bio	田中敦子	Tanaka Atsuko	en	②語順が逆	Atsuko Tanaka
金山 明	akira-kanayama	bio	田中敦子	Tanaka Atsuko	fr	②語順が逆	Atsuko Tanaka
金山 明	akira-kanayama	bio	田中敦子	Tanaka Atsuko	es	②語順が逆	Atsuko Tanaka
金山 明	akira-kanayama	bio	田中敦子	Tanaka Atsuko	de	②語順が逆	Atsuko Tanaka
吉田 稔郎	yoshida-toshio	bio	吉原治良	Yoshihara Jirō	en	④語順逆＋長音/アポストロフィ違い	~Jirō Yoshihara
吉田 稔郎	yoshida-toshio	bio	吉原治良	Yoshihara Jirō	fr	④語順逆＋長音/アポストロフィ違い	~Jirō Yoshihara
吉田 稔郎	yoshida-toshio	bio	吉原治良	Yoshihara Jirō	es	④語順逆＋長音/アポストロフィ違い	~Jirō Yoshihara
吉田 稔郎	yoshida-toshio	bio	吉原治良	Yoshihara Jirō	de	④語順逆＋長音/アポストロフィ違い	~Jirō Yoshihara
高松 次郎	jiro-takamatsu	bio	中西夏之	Nakanishi Natsuyuki	en	②語順が逆	Natsuyuki Nakanishi
高松 次郎	jiro-takamatsu	bio	中西夏之	Nakanishi Natsuyuki	fr	②語順が逆	Natsuyuki Nakanishi
高松 次郎	jiro-takamatsu	bio	中西夏之	Nakanishi Natsuyuki	es	②語順が逆	Natsuyuki Nakanishi
高松 次郎	jiro-takamatsu	bio	中西夏之	Nakanishi Natsuyuki	de	②語順が逆	Natsuyuki Nakanishi
高松 次郎	jiro-takamatsu	bio	赤瀬川原平	Akasegawa Genpei	en	②語順が逆	Genpei Akasegawa
高松 次郎	jiro-takamatsu	bio	赤瀬川原平	Akasegawa Genpei	fr	②語順が逆	Genpei Akasegawa
高松 次郎	jiro-takamatsu	bio	赤瀬川原平	Akasegawa Genpei	es	②語順が逆	Genpei Akasegawa
高松 次郎	jiro-takamatsu	bio	赤瀬川原平	Akasegawa Genpei	de	②語順が逆	Genpei Akasegawa
中西 夏之	natsuyuki-nakanishi	bio	赤瀬川原平	Akasegawa Genpei	en	②語順が逆	Genpei Akasegawa
