作家(handle)	作家名	欄	固有名詞(ja)	含まれる人名	種別	言語	現表記	人名部分	判定	判定の理由	社内の照合(本人ページのローマ字)	探索経路
kano-hogai	狩野 芳崖	groups	狩野派	狩野家	団体・流派	en	Kanō school	Kanō school	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
kano-hogai	狩野 芳崖	groups	狩野派	狩野家	団体・流派	ko	가노파	가노파	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
kano-hogai	狩野 芳崖	groups	狩野派	狩野家	団体・流派	fr	école Kanō	école Kanō	C	★人名部分の綴りが当社の英語表記（Kanō school）と食い違う（école Kanō）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
kano-hogai	狩野 芳崖	groups	狩野派	狩野家	団体・流派	es	escuela Kanō	escuela Kanō	C	★人名部分の綴りが当社の英語表記（Kanō school）と食い違う（escuela Kanō）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
kano-hogai	狩野 芳崖	groups	狩野派	狩野家	団体・流派	de	Kanō-Schule	Kanō Schule	C	★人名部分の綴りが当社の英語表記（Kanō school）と食い違う（Kanō Schule）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
tomioka-tessai	富岡 鉄斎	collection	清荒神清澄寺鉄斎美術館	富岡鉄斎	館・施設	en	Tessai Museum, Kiyoshikōjin Seichōji	Tessai	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Tessai）	Wikidataに該当項目／公式サイトURLの登録なし
tomioka-tessai	富岡 鉄斎	collection	清荒神清澄寺鉄斎美術館	富岡鉄斎	館・施設	zh_cn	清荒神清澄寺铁斋美术馆	清荒神清澄寺铁斋美术馆	C	★日本語の人名漢字が字面として残っていない（清荒神清澄寺铁斋美术馆）。字体変換で説明できるか、別の語に置き換わっているか、1件ずつ読む必要がある	★日本語の人名漢字が1字も残っていない（簡体・繁体変換で別字になっている可能性）	公式サイト未特定。日本語の人名漢字との字体対応のみ機械照合
tomioka-tessai	富岡 鉄斎	collection	清荒神清澄寺鉄斎美術館	富岡鉄斎	館・施設	zh_tw	清荒神清澄寺鐵齋美術館	清荒神清澄寺鐵齋美術館	C	★日本語の人名漢字が字面として残っていない（清荒神清澄寺鐵齋美術館）。字体変換で説明できるか、別の語に置き換わっているか、1件ずつ読む必要がある	★日本語の人名漢字が1字も残っていない（簡体・繁体変換で別字になっている可能性）	公式サイト未特定。日本語の人名漢字との字体対応のみ機械照合
tomioka-tessai	富岡 鉄斎	collection	清荒神清澄寺鉄斎美術館	富岡鉄斎	館・施設	ko	기요시코진 세이초지 뎃사이 미술관	기요시코진 세이초지 뎃사이 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
tomioka-tessai	富岡 鉄斎	collection	清荒神清澄寺鉄斎美術館	富岡鉄斎	館・施設	fr	Musée Tessai, Kiyoshikōjin Seichōji	Tessai	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Tessai）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
tomioka-tessai	富岡 鉄斎	collection	清荒神清澄寺鉄斎美術館	富岡鉄斎	館・施設	es	Museo Tessai, Kiyoshikōjin Seichōji	Tessai	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Tessai）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
