優先度	没年	束	作家	欄	疑義の内容	本便の裏取り結果	出典	状態
B（団体名・受賞歴・収蔵先＝第三者が確認できる事実）	2013	第52束	渡辺 力	所属団体	「日本インダストリアルデザイナー協会」＝正式名称は「日本インダストリアルデザイン協会」との指摘	★裏が取れたが、単純な誤りではない。JIDA公式沿革の実測＝1952年発足→2012年公益認定時に『公益社団法人日本インダストリアルデザイナー協会』→2021年に『公益社団法人日本インダストリアルデザイン協会』へ改名。渡辺さまの没年は2013年で、ご存命中の名称は『デザイナー協会』。当時の名称としては誤りではない。★あわせてJIDA発足メンバー25名に「渡辺力」が公式に明記されていることを確認した。	JIDA公式 https://www.jida.or.jp/about （2026-08-21取得）	要判断（現名称か当時の名称か）
B（団体名・受賞歴・収蔵先＝第三者が確認できる事実）	2005	第51束	脇田 和	略歴・収蔵先	「軽井沢脇田美術館」＝公式名称は「脇田美術館」	★裏が取れた。館公式サイトの表題＝「脇田美術館」／軽井沢町公式ページ＝「脇田美術館」（「軽井沢脇田美術館」の表記は0件）。当社は略歴・収蔵先の両方が「軽井沢脇田美術館」。★本便のタスク1（収蔵先欄の監査）とも重なる。	脇田美術館 公式 http://www.wakita-museum.com/ ／軽井沢町公式 https://www.town.karuizawa.lg.jp/page/1202.html （2026-08-21取得）	是正候補（高）
B（団体名・受賞歴・収蔵先＝第三者が確認できる事実）	2001	第52束	山田 光	略歴	「走泥社に加わった」＝美術館資料では結成者の一人（1948年）	本便では裏取りしていない（上位10件の枠外）	—	未着手
B（団体名・受賞歴・収蔵先＝第三者が確認できる事実）	1997	第51束	牛島 憲之	略歴・所属団体	「独立美術協会で活動した」＝主な活動団体は創元会・立軌会・主線美術協会	★3系統とも独立美術協会の記載がない。①20世紀日本人名事典「昭和2年 上杜会を結成」「17年創元会会員」「24年創元会を退会し、須田寿らと立軌会を結成」②日本大百科全書「1949年立軌会結成に参加し、日展への出品をやめる」③ブリタニカ国際大百科事典「東光会、主線美術協会、創元会にそれぞれ会員として参加」。複数の権威資料が団体名を具体的に列挙していて、そこに独立美術協会が無い＝誤りと判断するのが合理的（断定はしない）。	コトバンク所収 20世紀日本人名事典／日本大百科全書／ブリタニカ国際大百科事典 小項目事典（2026-08-21取得・逐語確認）	是正候補（高）
B（団体名・受賞歴・収蔵先＝第三者が確認できる事実）	1997	第51束	牛島 憲之	略歴・代表作	《炎天》《貝》＝公的資料で確認できるのは《炎昼》《貝焼場》等	★方向として裏が取れた。20世紀日本人名事典「21年『炎昼』で日展特選」／日本大百科全書「1946年 第2回日展で特選」／ブリタニカ「46年『炎昼』で日展の特選を受賞」。《炎天》は3系統いずれにも無い。《貝》については本便では確認していない。	同上	是正候補（炎天→炎昼・高）／《貝》は未確認
B（団体名・受賞歴・収蔵先＝第三者が確認できる事実）	1987	第47束	手島 右卿	略歴	「独立書人団を結成した」＝1952年結成時の名称は「独立書道会」	★裏が取れた（3系統）。①独立書人団公式「会の発足は1952年、当初は『独立書道会』という名称でした。1967年『独立書人団』と名称を改め」②同 手島右卿 略年譜「1952 独立書道会（現独立書人団）を結成。代表となる。」③日本大百科全書（ニッポニカ）「独立書道会（1952）、独立書人団（1967）を創立」。★20世紀日本人名事典のみ「27年に『独立書人団』を結成」と書き、資料が割れる。	公益財団法人 独立書人団 公式 https://www.dokuritsu.or.jp/shoukai/ ／同 /teshimayuhkei/ ／コトバンク所収 日本大百科全書（2026-08-21取得）	是正候補（高）
B（団体名・受賞歴・収蔵先＝第三者が確認できる事実）	1987	第47束	手島 右卿	略歴	「日本芸術院賞を受けた」＝確認できるのは毎日芸術賞	★3系統とも日本芸術院賞の記載がなく、毎日芸術賞が一致して挙がる。①独立書人団公式年譜「翌年書道界初の『毎日芸術賞』が贈られる」②20世紀日本人名事典 主な受賞名＝毎日芸術賞〔昭和43年〕・勲三等旭日中綬章・文化功労者ほか③日本大百科全書「68年毎日芸術賞受賞。82年文化功労者」。★日本芸術院公式の歴代授賞者一覧は年度別ページで、本便では手島さまの授賞の有無を確認できなかった＝「無いことを確認した」とは書かない。	同上＋日本芸術院公式 https://www.geijutuin.go.jp/award/award_prize.html （一覧は年度別・本便で未確認）	是正候補（高・ただし断定しない）
B（団体名・受賞歴・収蔵先＝第三者が確認できる事実）	1986	第51束	梅原 龍三郎	略歴	「のちに国画会に洋画部を設けた」＝洋画部を設けた当時の団体は国画創作協会	★裏が取れた。国画会公式（国展）絵画部の歴史＝「1925年（大正14年）国画創作協会は、梅原龍三郎（37歳）、川島理一郎（39歳）、を迎え入れ、1926年（大正15年）第2部としての洋画部を新設し」「1928年（昭和3年）国画創作協会第1部が解散してからは名称を『国画会』と改称し」。★同ページには「1918年（大正8年）」という西暦・元号の食い違いもある（1918年は大正7年）。	国画会（国展）公式 https://kokuten.com/kaiga-rekishi （2026-08-21取得・逐語確認）	是正候補（高）
B（団体名・受賞歴・収蔵先＝第三者が確認できる事実）	1986	第51束	梅原 龍三郎	略歴	「1914年に二科会の創立に参加」＝二科会公式沿革では創立は1915年	★公式サイト自身が割れている。トップページ＝「1914年の二科会結成以来」「二科会は、1914年の創立以来」／沿革ページ＝「1914年（大正3年）に始まった第1回二科美術展覧会です。翌年の1915年（大正4年）には、第1回展の鑑査委員が会員となり『二科会』が創立されました」。当社の記述は公式の一方と一致し他方と食い違う。当方では決めない。	二科会公式 https://www.nika.or.jp/ ／ https://nika.or.jp/about-us/history/ （2026-08-21取得・逐語確認）	要判断（公式が割れている）
B（団体名・受賞歴・収蔵先＝第三者が確認できる事実）	1979	第49束	鶴岡 政男	略歴	《重い手》「宙に浮かぶ巨大な手」＝東京都現代美術館の解説と一致しない	本便では裏取りしていない（上位10件の枠外）	—	未着手
