出典	URL	HTTP	本便で取れた内容
文化庁 国指定文化財等データベース「木工芸」	https://kunishitei.bunka.go.jp/bsys/maindetails/303/89	200	中川清司の認定・指定年月日 2001.07.12（平成13.07.12）／認定次 第48次／ふりがな なかがわきよつぐ
Art Platform Japan 日本美術家事典 A3526	https://artplatform.go.jp/artists/A3526	200	index name NAKAGAWA Kiyotsugu／display name Nakagawa Kiyotsugu／なかがわ きよつぐ／1942-09-18／Kyoto City, Kyoto Prefecture／機械翻訳の注記なし
APJ 収蔵記録 W328101	https://artplatform.go.jp/collections/W328101	200	神代杉木画箱／京都国立近代美術館／2001／木、象嵌／Wd0020／機械翻訳の注記あり
APJ 収蔵記録 W1444895	https://artplatform.go.jp/collections/W1444895	200	椹柾合わせ盆／国立工芸館／昭和48年／Wd0094／機械翻訳の注記あり
APJ 収蔵記録 W1444896	https://artplatform.go.jp/collections/W1444896	200	高野槇柾合わせ食籠／国立工芸館／昭和55年／Wd0095／機械翻訳の注記あり
APJ 収蔵記録 W1444897	https://artplatform.go.jp/collections/W1444897	200	春日杉木画色紙箱／国立工芸館／昭和57年／Wd0096／機械翻訳の注記あり
APJ 収蔵記録 W1444898	https://artplatform.go.jp/collections/W1444898	200	神代杉木画六角箱／国立工芸館／平成18年／神代杉、木画／Wd0097／機械翻訳の注記あり
日本工芸会 作家ページ	https://www.nihonkogeikai.or.jp/works/984/	200	なかがわ きよつぐ／生年1942年9月18日／近畿支部・木竹工部会／正会員／受賞歴3件（全件）／作品77件（本展41・近畿28・木竹8）
わざを伝える 作家ページ（文化庁国庫補助事業）	https://www.nihonkogeikai.or.jp/waza/artist/984/	200	経歴10項目（1942京都に生まれる／1974竹内碧外氏に師事／1989 V&A買上／1999宮内庁買上／2001認定／2003紫綬褒章／2009文化庁記録映画製作）／2025年12月31日時点の認定情報
文化遺産オンライン 記録映画	https://bunka.nii.ac.jp/special_content/movie_stream/02	200	木工芸－中川清司のわざ－／9分32秒／解説の逐語／製作年の記載なし
V&A コレクション O24667	https://api.vam.ac.uk/v2/museumobject/O24667	200	Nakagawa, Kiyotsugu (A31994)／Box／1987／FE.12A-1989／Wood, cryptomeria wood, herringbone parquetry／works in Kyoto／jindai sugi
NDLサーチ OpenSearch title=中川清司	https://ndlsearch.ndl.go.jp/api/opensearch?title=中川清司	200	5件。記録映画の書誌のみ（平成19年度工芸技術記録映画／日経映像／[2007]）
NDLサーチ OpenSearch creator=中川清司	https://ndlsearch.ndl.go.jp/api/opensearch?creator=中川清司	200	144件。確認した20件はすべて光ファイバ通信・音響工学の研究者（同名異人）
中川木工芸（当事者の公式通販サイト）	https://nakamoku.ocnk.net/	200	初代亀一が京都白川に工房／現在は二代目清司が京都の工房、三代目周士が滋賀の工房を主宰（★「父」の語は無い）
京都国立近代美術館 英語公式	https://www.momak.go.jp/English/	200	The National Museum of Modern Art, Kyoto
国立工芸館 英語公式	https://www.momat.go.jp/craft-museum/en	200	National Crafts Museum（旧称 Crafts Gallery も併記）
日本工芸会 英語公式	https://www.nihonkogeikai.or.jp/en/	200	title=Japan Kogei Association／本文に Japan Kōgei Association／Japan Traditional Art Crafts Exhibition
文化庁 英語「無形文化財」	https://www.bunka.go.jp/english/policy/cultural_properties/introduction/intangible/	200	Important Intangible Cultural Property／Holder of／Living National Treasure
V&A コレクション検索（作家名）	https://api.vam.ac.uk/v2/objects/search?q=Nakagawa%20Kiyotsugu	200	1件のみ（O24667）。作家ID A31994 で引き直しても1件
あつぺくとライブ全件ダンプ（社内・読み取りのみ）	Shopify Admin API metaobjects(type:artist)	-	627名。中川清司は未掲載。同姓＝中川一政・中川紀元／同名＝大辻清司（きよじ）
