作品名	出品展
神代杉柾合わせ天目台	第70回日本伝統工芸展
神代杉柾合わせ木画平卓	第69回日本伝統工芸展
神代杉杢目磨き長方卓	第68回日本伝統工芸展
神代杉木画箱	第62回日本伝統工芸展
神代杉木画飾箱	第15回伝統工芸木竹展
神代杉木画飾箱	第44回日本伝統工芸近畿展
神代杉木画長方箱	第61回日本伝統工芸展
神代杉木画飾箱	第43回日本伝統工芸近畿展
神代杉木画箱	第60回日本伝統工芸展
神代杉木画飾箱	第14回伝統工芸木竹展
神代杉木画飾箱	第42回日本伝統工芸近畿展
神代杉柾合せ飾箱	第59回日本伝統工芸展
神代杉木画飾卓	第41回日本伝統工芸近畿展
神代杉木画平卓	第58回日本伝統工芸展
神代杉木画平卓	第13回伝統工芸木竹展
神代杉木画平卓	第40回日本伝統工芸近畿展
神代杉木画文庫	第57回日本伝統工芸展
神代杉木画短冊箱	第39回日本伝統工芸近畿展
神代杉木画箱	第56回日本伝統工芸展
神代杉木画短冊箱	第12回伝統工芸木竹展
神代杉木画箱	第38回日本伝統工芸近畿展
神代杉木画箱	第55回日本伝統工芸展
神代杉木画箱	第37回日本伝統工芸近畿展
神代杉木画四方箱	第54回日本伝統工芸展
神代杉木画箱	第11回伝統工芸木竹展
神代杉木画箱	第36回日本伝統工芸近畿展
神代杉木画六角箱	第53回日本伝統工芸展
神代杉木画文庫	第35回日本伝統工芸近畿展
神代杉木画短冊箱	第52回日本伝統工芸展
神代杉木画箱	第10回伝統工芸木竹展
神代杉木画四方箱	第34回日本伝統工芸近畿展
神代杉木画色紙箱	第51回日本伝統工芸展
神代杉木画硯箱	第33回日本伝統工芸近畿展
神代杉木画色紙箱	第50回日本伝統工芸展
神代杉木画箱	第32回日本伝統工芸近畿展
神代杉木画箱	第49回日本伝統工芸展
神代杉木画文庫	第31回日本伝統工芸近畿展
神代杉木画箱	第48回日本伝統工芸展
神代杉木画飾箱	第34回日本伝統工芸展
杉柾合せ盛器	第33回日本伝統工芸展
神代杉木画色紙箱	第30回日本伝統工芸展
杉柾合せ食籠	第22回日本伝統工芸展
神代杉木画箱	第30回日本伝統工芸近畿展
神代杉木画四方箱	第47回日本伝統工芸展
神代杉木画手箱	第29回日本伝統工芸近畿展
神代杉木画箱	第9回伝統工芸木竹展
神代杉木画箱	第46回日本伝統工芸展
神代杉木画飾箱	第28回日本伝統工芸近畿展
神代杉木画手箱	第45回日本伝統工芸展
神代杉木画箱	第8回伝統工芸木竹展
神代杉木画箱	第27回日本伝統工芸近畿展
神代杉木画箱	第44回日本伝統工芸展
神代杉木画手箱	第26回日本伝統工芸近畿展
神代杉木画六角箱	第43回日本伝統工芸展
神代杉画オルゴール箱	第25回日本伝統工芸近畿展
神代杉木画手箱	第42回日本伝統工芸展
神代杉木画飾箱	第24回日本伝統工芸近畿展
神代杉木画手箱	第41回日本伝統工芸展
神代杉木画飾箱	第23回日本伝統工芸近畿展
神代杉木画箱	第40回日本伝統工芸展
神代杉木画飾箱	第22回日本伝統工芸近畿展
神代杉木画箱	第39回日本伝統工芸展
神代杉木画文庫	第21回日本伝統工芸近畿展
神代杉木画箱	第38回日本伝統工芸展
神代杉木画箱	第20回日本伝統工芸近畿展
神代杉木画箱	第37回日本伝統工芸展
杉柾合わせ合子	第19回日本伝統工芸近畿展
神代杉木画飾箱	第36回日本伝統工芸展
神代杉木画短冊箱	第18回日本伝統工芸近畿展
神代杉木画手箱	第35回日本伝統工芸展
神代杉木画手箱	第17回日本伝統工芸近畿展
神代杉経筒	第28回日本伝統工芸展
槇柾合わせ梅鉢	第25回日本伝統工芸展
杉柾合わせ盛器	第23回日本伝統工芸展
椹柾合せ盛鉢	第21回日本伝統工芸展
杉柾合せ盆	第20回日本伝統工芸展
小判形盤	第19回日本伝統工芸展
