系譜	ARTerraceでの表記	ARTerrace_id	日本工芸会の人間国宝48名に含まれるか	備考	出どころURL
伝統工芸（従）	十四代 今泉 今右衛門	1005	○	—	https://arterrace.jp/jp/artists/detail?id=1005
伝統工芸（従）	室瀬 和美	1006	○	—	https://arterrace.jp/jp/artists/detail?id=1006
伝統工芸（従）	伊藤 赤儘（五代 伊藤 赤水）	1007	○	★ARTerraceは「伊藤 赤儘」、日本工芸会は「五代 伊藤 赤水」。表記が食い違う（同一人物と判断）	https://arterrace.jp/jp/artists/detail?id=1007
伝統工芸（従）	井上 萬二	1008	—	★日本工芸会の人間国宝48名の一覧に見当たらない。理由は本便では未確認（「一覧に無い＝居ない」とは書かない）	https://arterrace.jp/jp/artists/detail?id=1008
伝統工芸（従）	伊勢﨑 淳	1009	○	—	https://arterrace.jp/jp/artists/detail?id=1009
伝統工芸（従）	桂 盛仁	1011	○	—	https://arterrace.jp/jp/artists/detail?id=1011
伝統工芸（従）	川北 良造	1012	○	—	https://arterrace.jp/jp/artists/detail?id=1012
伝統工芸（従）	小森 邦衞	1013	○	—	https://arterrace.jp/jp/artists/detail?id=1013
伝統工芸（従）	前田 昭博	1016	○	—	https://arterrace.jp/jp/artists/detail?id=1016
伝統工芸（従）	増村 紀一郎	1017	○	—	https://arterrace.jp/jp/artists/detail?id=1017
伝統工芸（従）	山岸 一男	1020	○	—	https://arterrace.jp/jp/artists/detail?id=1020
伝統工芸（従）	吉田 美統	1021	○	—	https://arterrace.jp/jp/artists/detail?id=1021
伝統工芸（従）	奥村 公規	1030	○	—	https://arterrace.jp/jp/artists/detail?id=1030
伝統工芸（従）	神農 巌	1043	○	—	https://arterrace.jp/jp/artists/detail?id=1043
伝統工芸（従）	大角 幸枝	1064	○	—	https://arterrace.jp/jp/artists/detail?id=1064
伝統工芸（従）	大谷 早人	1065	○	—	https://arterrace.jp/jp/artists/detail?id=1065
伝統工芸（従）	小宮 康正	1067	○	—	https://arterrace.jp/jp/artists/detail?id=1067
伝統工芸（従）	中川 衛	1069	○	—	https://arterrace.jp/jp/artists/detail?id=1069
伝統工芸（従）	原 清	1070	○	—	https://arterrace.jp/jp/artists/detail?id=1070
伝統工芸（従）	村山 明	1090	○	—	https://arterrace.jp/jp/artists/detail?id=1090
