系譜	氏名	よみ	役職	優先度	APJ 作家典拠	APJ 収蔵記録件数	材料充足度	充足度の根拠	接近経路（公開情報のみ）	あつぺくと627との関係	出どころURL
現代工芸	奥田 小由女	（協会サイトに記載なし）	理事長	A	1	60	A	APJ官製の収蔵記録60件で作品の実在が裏付く。ただし協会サイトには氏名と役職しか無く、よみ・生年・経歴は別途調査が要る	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	同姓: 奥田元宋	http://www.gendaikougei.or.jp/member.html
現代工芸	春山 文典	（協会サイトに記載なし）	副理事長	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	中井 貞次	（協会サイトに記載なし）	常務理事	A	1	11	A	APJ官製の収蔵記録11件で作品の実在が裏付く。ただし協会サイトには氏名と役職しか無く、よみ・生年・経歴は別途調査が要る	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	宮田 亮平	（協会サイトに記載なし）	常務理事	A	1	7	A	APJ官製の収蔵記録7件で作品の実在が裏付く。ただし協会サイトには氏名と役職しか無く、よみ・生年・経歴は別途調査が要る	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	大樋 年雄	（協会サイトに記載なし）	常務理事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	三田村 有純	（協会サイトに記載なし）	常務理事	A	0	5	A	APJ官製の収蔵記録5件で作品の実在が裏付く。ただし協会サイトには氏名と役職しか無く、よみ・生年・経歴は別途調査が要る	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	吉賀 將夫	（協会サイトに記載なし）	常務理事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	髙橋 貞夫	（協会サイトに記載なし）	参事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	立川 善治	（協会サイトに記載なし）	参与	A	0	1	A	APJ官製の収蔵記録1件で作品の実在が裏付く。ただし協会サイトには氏名と役職しか無く、よみ・生年・経歴は別途調査が要る	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	相武 常雄	（協会サイトに記載なし）	理事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	山岸 大成	（協会サイトに記載なし）	理事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	武腰 一憲	（協会サイトに記載なし）	理事	A	0	1	A	APJ官製の収蔵記録1件で作品の実在が裏付く。ただし協会サイトには氏名と役職しか無く、よみ・生年・経歴は別途調査が要る	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	赤堀 郁彦	（協会サイトに記載なし）	理事	A	1	3	A	APJ官製の収蔵記録3件で作品の実在が裏付く。ただし協会サイトには氏名と役職しか無く、よみ・生年・経歴は別途調査が要る	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	浅井 啓介	（協会サイトに記載なし）	理事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	同姓: 浅井忠	http://www.gendaikougei.or.jp/member.html
現代工芸	石川 充宏	（協会サイトに記載なし）	理事	A	1	3	A	APJ官製の収蔵記録3件で作品の実在が裏付く。ただし協会サイトには氏名と役職しか無く、よみ・生年・経歴は別途調査が要る	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	同姓: 石川寅治	http://www.gendaikougei.or.jp/member.html
現代工芸	上原 利丸	（協会サイトに記載なし）	理事	A	0	2	A	APJ官製の収蔵記録2件で作品の実在が裏付く。ただし協会サイトには氏名と役職しか無く、よみ・生年・経歴は別途調査が要る	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	司辻 光男	（協会サイトに記載なし）	理事	A	0	2	A	APJ官製の収蔵記録2件で作品の実在が裏付く。ただし協会サイトには氏名と役職しか無く、よみ・生年・経歴は別途調査が要る	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	近藤 学	（協会サイトに記載なし）	理事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	同姓: 近藤悠三・近藤雪竹	http://www.gendaikougei.or.jp/member.html
現代工芸	佐藤 好昭	（協会サイトに記載なし）	理事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	同姓: 佐藤玄々・佐藤忠良・佐藤太清	http://www.gendaikougei.or.jp/member.html
現代工芸	曽根 洋司	（協会サイトに記載なし）	理事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	友定 聖雄	（協会サイトに記載なし）	理事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	西片 正	（協会サイトに記載なし）	理事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	林 香君	（協会サイトに記載なし）	理事	A	0	1	A	APJ官製の収蔵記録1件で作品の実在が裏付く。ただし協会サイトには氏名と役職しか無く、よみ・生年・経歴は別途調査が要る	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	藤田 仁	（協会サイトに記載なし）	理事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	同姓: 藤田嗣治・藤田喬平	http://www.gendaikougei.or.jp/member.html
現代工芸	干田 浩	（協会サイトに記載なし）	理事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	向山 伊保江	（協会サイトに記載なし）	理事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	山本 清	（協会サイトに記載なし）	理事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	同姓: 山本丘人・山本芳翠・山本豊市	http://www.gendaikougei.or.jp/member.html
現代工芸	横山 喜八郎	（協会サイトに記載なし）	理事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	同姓: 横山大観・横山操・横山松三郎	http://www.gendaikougei.or.jp/member.html
現代工芸	勝 孝	（協会サイトに記載なし）	監事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	南雲 龍比古	（協会サイトに記載なし）	監事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	村田 真樹	（協会サイトに記載なし）	監事	A	0	0	C	APJに作家典拠も収蔵記録も無く、協会サイトも氏名と役職のみ＝本便の経路では材料がほぼ取れない	一般社団法人現代工芸美術家協会の公式サイトに問い合わせ窓口あり／役職者として日本現代工芸美術展（毎年）が公開の会える場	—	http://www.gendaikougei.or.jp/member.html
現代工芸	青木 宏憧	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 青木繁	http://www.gendaikougei.or.jp/member.html
現代工芸	飴村 秀子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	安藤 タヅ子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	出居 麻美	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	井上 壽博	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 井上長三郎・井上有一	http://www.gendaikougei.or.jp/member.html
現代工芸	井上 善夫	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 井上長三郎・井上有一	http://www.gendaikougei.or.jp/member.html
現代工芸	今井 彲	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 今井凌雪・今井俊満・今井兼次	http://www.gendaikougei.or.jp/member.html
現代工芸	上森 四郎	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	大塩 正	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	岡本 徹正	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 岡本太郎・岡本信治郎	http://www.gendaikougei.or.jp/member.html
現代工芸	小田 謙二	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	織田 定男	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	小山田 尚弘	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 小山敬三	http://www.gendaikougei.or.jp/member.html
現代工芸	春日井 路子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	川口 満	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	菊池 房江	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 菊池契月・菊池一雄・菊池芳文	http://www.gendaikougei.or.jp/member.html
現代工芸	喜多 浩介	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	北村 鶴代	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 北村西望・北村四海・北村治禧	http://www.gendaikougei.or.jp/member.html
現代工芸	木下 五郎	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 木下繁	http://www.gendaikougei.or.jp/member.html
現代工芸	木本 一之	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	久保 満義	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 久保田成子	http://www.gendaikougei.or.jp/member.html
現代工芸	栗本 雅子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	桑原 紀子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 桑原翠邦・桑原甲子雄	http://www.gendaikougei.or.jp/member.html
現代工芸	小畠 泰明	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	斉藤 晴之	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	桜田 知文	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	佐々木 眞澄	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	同姓: 佐々木象堂	http://www.gendaikougei.or.jp/member.html
現代工芸	宍戸 清子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	十二町 薫	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	角 康二	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	関原 範子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	高岡 由美子	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	高津 明美	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	髙橋 純一	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	髙橋 斗雄	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
現代工芸	武腰 冬樹	（協会サイトに記載なし）	評議員	B（リスト化まで）	未照会	未照会	未判定	評議員は本便の充足度偵察の対象外（依頼＝役員から）	（本便では未調査）	—	http://www.gendaikougei.or.jp/member.html
