系譜	氏名	よみ	分野	会員区分	あつぺくと627との関係	出どころURL
現代工芸	相澤 正樹	（協会サイトに記載なし）	陶磁	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	青木 啓幸	（協会サイトに記載なし）	陶磁	本会員	同姓: 青木繁	http://www.gendaikougei.or.jp/member2.html
現代工芸	浅井 啓扶	（協会サイトに記載なし）	陶磁	本会員	同姓: 浅井忠	http://www.gendaikougei.or.jp/member2.html
現代工芸	新垣 栄	（協会サイトに記載なし）	陶磁	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	荒田 眞代	（協会サイトに記載なし）	陶磁	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	石添 秀正	（協会サイトに記載なし）	陶磁	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	井上 具彦	（協会サイトに記載なし）	陶磁	本会員	同姓: 井上長三郎・井上有一	http://www.gendaikougei.or.jp/member2.html
現代工芸	井上 英基	（協会サイトに記載なし）	陶磁	本会員	同姓: 井上長三郎・井上有一	http://www.gendaikougei.or.jp/member2.html
現代工芸	井上 雅子	（協会サイトに記載なし）	陶磁	本会員	同姓: 井上長三郎・井上有一	http://www.gendaikougei.or.jp/member2.html
現代工芸	今林 久	（協会サイトに記載なし）	陶磁	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	今林 邦寛	（協会サイトに記載なし）	陶磁	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	上野 伊都美	（協会サイトに記載なし）	陶磁	本会員	同姓: 上野為二・上野彦馬	http://www.gendaikougei.or.jp/member2.html
現代工芸	上村 直也	（協会サイトに記載なし）	陶磁	本会員	同姓: 上村松園・上村松篁	http://www.gendaikougei.or.jp/member2.html
現代工芸	梅田 洋	（協会サイトに記載なし）	陶磁	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	浦野 真吾	（協会サイトに記載なし）	陶磁	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	遠藤 幸子	（協会サイトに記載なし）	陶磁	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	大谷 桂子	（協会サイトに記載なし）	陶磁	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	大畑 桃子	（協会サイトに記載なし）	陶磁	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	大村 弘美	（協会サイトに記載なし）	陶磁	本会員	—	http://www.gendaikougei.or.jp/member2.html
現代工芸	司辻 健司	（協会サイトに記載なし）	陶磁	本会員	—	http://www.gendaikougei.or.jp/member2.html
