系譜	氏名	よみ	分野	重要無形文化財の名称	認定年	会員区分	所属（支部・部会）	生年	日本工芸会 作品掲載数	ARTerrace掲載	APJ 作家典拠	APJ 収蔵記録件数	材料充足度	充足度の根拠	接近経路（公開情報のみ）	出どころURL
伝統工芸（主）	魚住 為楽	うおずみ いらく	金工	重要無形文化財「銅鑼」保持者	2002	正会員	石川支部、金工部会	1937年11月7日	126	—	2	9	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品126件）＋APJ官製の収蔵記録9件で作品の実在が裏付く	日本工芸会 石川支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/836/
伝統工芸（主）	大角 幸枝	おおすみ ゆきえ	金工	重要無形文化財「鍛金」保持者	2015	正会員	東日本支部、金工部会	1945年12月4日	96	○	1	2	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品96件）＋APJ官製の収蔵記録2件で作品の実在が裏付く	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/842/
伝統工芸（主）	奥村 公規	おくむら こうき	金工	重要無形文化財「彫金」保持者	2025	正会員	東日本支部、金工部会	1950年7月11日	79	○	0	0	A	日本工芸会の公式作家ページ＋ARTerrace（EC）掲載で作品の実在が裏付く。APJの官製収蔵記録は0件	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/847/
伝統工芸（主）	奥山 峰石	おくやま ほうせき	金工	重要無形文化財「鍛金」保持者	1995	正会員	東日本支部、金工部会	1937年1月16日	95	—	1	5	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品95件）＋APJ官製の収蔵記録5件で作品の実在が裏付く	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/848/
伝統工芸（主）	桂 盛仁	かつら もりひと	金工	重要無形文化財「彫金」保持者	2008	正会員	東日本支部、金工部会	1944年11月27日	112	○	1	4	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品112件）＋APJ官製の収蔵記録4件で作品の実在が裏付く	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/853/
伝統工芸（主）	玉川 宣夫	たまがわ のりお	金工	重要無形文化財「鍛金」保持者	2010	正会員	東日本支部、金工部会	1942年1月5日	120	—	1	2	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品120件）＋APJ官製の収蔵記録2件で作品の実在が裏付く	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/884/
伝統工芸（主）	中川 衛	なかがわ まもる	金工	重要無形文化財「彫金」保持者	2004	正会員	石川支部、金工部会	1947年6月5日	98	○	1	2	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品98件）＋APJ官製の収蔵記録2件で作品の実在が裏付く	日本工芸会 石川支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/890/
伝統工芸（主）	大谷 早人	おおたに はやと	漆芸	重要無形文化財「蒟醬」保持者	2020	正会員	四国支部、漆芸部会	1954年9月21日	86	○	0	4	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品86件）＋APJ官製の収蔵記録4件で作品の実在が裏付く	日本工芸会 四国支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/714/
伝統工芸（主）	小森 邦衞	こもり くにえ	漆芸	重要無形文化財「髹漆」保持者	2006	正会員	石川支部、漆芸部会	1945年2月18日	118	○	1	12	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品118件）＋APJ官製の収蔵記録12件で作品の実在が裏付く	日本工芸会 石川支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/741/
伝統工芸（主）	中野 孝一	なかの こういち	漆芸	重要無形文化財「蒔絵」保持者	2010	正会員	石川支部、漆芸部会	1947年6月16日	117	—	1	6	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品117件）＋APJ官製の収蔵記録6件で作品の実在が裏付く	日本工芸会 石川支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/776/
伝統工芸（主）	前 史雄	まえ ふみお	漆芸	重要無形文化財「沈金」保持者	1999	正会員	石川支部、漆芸部会	1940年8月15日	105	—	1	5	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品105件）＋APJ官製の収蔵記録5件で作品の実在が裏付く	日本工芸会 石川支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/792/
伝統工芸（主）	増村 紀一郎	ますむら きいちろう	漆芸	重要無形文化財「髹漆」保持者	2008	正会員	東日本支部、漆芸部会	1941年12月1日	106	○	1	16	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品106件）＋APJ官製の収蔵記録16件で作品の実在が裏付く	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/795/
伝統工芸（主）	室瀬  和美	むろせ かずみ	漆芸	重要無形文化財「蒔絵」保持者	2008	正会員	東日本支部、漆芸部会	1950年12月26日	100	○	1	7	A	日本工芸会の公式作家ページ（氏名・よみ・生年・分野・所属・受賞歴・作品100件）＋APJ官製の収蔵記録7件で作品の実在が裏付く	日本工芸会 東日本支部（支部事務局の住所・電話が公式サイトに公開）／公式の作家ページあり／日本伝統工芸展（年1回・全国約10会場）と支部展が公開の会える場	https://www.nihonkogeikai.or.jp/works/810/
