no	handle	name_ja	name_en	分類(A/B/C)	分類根拠	フラット正本(masterworks_text)全文	配列(artist_i18n.masterworks ja)全文（項目は\nで連結）	画面(ja)で実際に見えている側
1	ito-shinsui	伊東 深水	Itō Shinsui	B	一部一致・一部不一致の混在＝一致2件／フラット側のみ0件（）／配列側のみ1件（銀世界）	対鏡、吹雪	対鏡 / 銀世界 / 吹雪	配列(ja)（JSが上書き表示）
2	kawasaki-shoko	川崎 小虎	Kawasaki Shōko	B	両者に同定一致する項目が1件もない＝作品名そのものが別	つき草、花合せ、じゅず玉、沈鐘、人魚	大原の奥 / 神々の図	配列(ja)（JSが上書き表示）
3	bundo-shunkai	豊道 春海	Bundō Shunkai	B	両者に同定一致する項目が1件もない＝作品名そのものが別	漢詩幅、七言二句	日展出品作 / 漢字書幅 / 詩文書	配列(ja)（JSが上書き表示）
4	murakami-santo	村上 三島	Murakami Santō	B	両者に同定一致する項目が1件もない＝作品名そのものが別	杜甫贈高式顔詩	漢字大字書 / 詩文書 / 日展出品作	配列(ja)（JSが上書き表示）
5	sakaki-bakuzan	榊 莫山	Sakaki Bakuzan	B	一部一致・一部不一致の混在＝一致2件／フラット側のみ2件（《寒山拾得》（1994年・紙本金箔・166.5×183cm・三重県立美術館蔵／所蔵番号20111J065000））／配列側のみ1件（莫山作品）	大字書、詩文書、《寒山拾得》（1994年・紙本金箔・166.5×183cm・三重県立美術館蔵、所蔵番号20111J065000）	大字書 / 詩文書 / 莫山作品	配列(ja)（JSが上書き表示）
6	amemiya-jiro	雨宮 治郎	Amemiya Jirō	B	両者に同定一致する項目が1件もない＝作品名そのものが別	槍投、健人、無人の境を行く	古人 / 構想	配列(ja)（JSが上書き表示）
7	miyagawa-kozan	宮川 香山	Miyagawa Kōzan	B	両者に同定一致する項目が1件もない＝作品名そのものが別	褐釉蟹貼付台付鉢（1881年・重要文化財）	高浮彫蟹図水盤 / 釉下彩作品	配列(ja)（JSが上書き表示）
8	ueno-tameji	上野 為二	Ueno Tameji	B	両者に同定一致する項目が1件もない＝作品名そのものが別	京友禅技術記録（一越縮緬地友禅訪問着・歓喜）、一越縮緬地友禅訪問着 寿山の曙	友禅着物	配列(ja)（JSが上書き表示）
9	shono-shounsai	生野 祥雲斎	Shōno Shōunsai	B	一部一致・一部不一致の混在＝一致1件／フラット側のみ0件（）／配列側のみ1件（白竹手付盛籃）	怒濤	白竹手付盛籃 / 怒濤	配列(ja)（JSが上書き表示）
10	nojima-yasuzo	野島 康三	Nojima Yasuzō	B	一部一致・一部不一致の混在＝一致2件／フラット側のみ0件（）／配列側のみ1件（光画掲載作品）	細川ちか子氏、裸婦	裸婦 / 細川ちか子氏 / 光画掲載作品	配列(ja)（JSが上書き表示）
