出典	URL	HTTP	区分	本便で取れた内容
東京都都市整備局 東京都選定歴史的建造物 一覧（索引表）	https://www.toshiseibi.metro.tokyo.lg.jp/ryokuchi_keikan/kekan_kese/keikan/machinami_09/list_rekisi	200	官	早稲田大学２号館（旧図書館）＝平成11(1999)年度選定・選定番号5／大学セミナーハウス本館＝平成28(2016)年度選定・選定番号94／塔の家＝平成29(2017)年度選定・選定番号106
同 詳細ページ re_list01（番号1〜10）	https://www.toshiseibi.metro.tokyo.lg.jp/ryokuchi_keikan/kekan_kese/keikan/machinami_09/list_rekisi/re_list01	200	官	早稲田大学２号館（旧図書館）／新宿区西早稲田一丁目6番1号／大正14(1925)／設計者＝今井兼次、桐山均一、内藤多仲／概要に「今井兼次の代表作」
同 詳細ページ re_list08（番号71〜80）	https://www.toshiseibi.metro.tokyo.lg.jp/ryokuchi_keikan/kekan_kese/keikan/machinami_09/list_rekisi/re_list08	200	官	大学セミナーハウス本館／八王子市下柚木1987番地1／昭和40(1965)／設計者＝吉阪隆正＋Ｕ研究室
同 詳細ページ re_list09（番号81〜90）	https://www.toshiseibi.metro.tokyo.lg.jp/ryokuchi_keikan/kekan_kese/keikan/machinami_09/list_rekisi/re_list09	200	官	塔の家／渋谷区神宮前三丁目39番4号／昭和41(1966)／設計者＝東孝光
東京都 With! 東京歴建PROJECT 塔の家	https://with-tokyorekiken.metro.tokyo.lg.jp/tokyo-rekiken/584/	200	官	平成29(2017)年度 選定／渋谷区神宮前3丁目39番4号／建設年 昭和41(1966)年／設計者 東孝光
文化庁 国指定文化財等データベース 大多喜町役場中庁舎	https://kunishitei.bunka.go.jp/heritage/detail/101/00010563	200	官	登録有形文化財(建造物)／昭和34年・平成24年改修（1959／2012改修）／登録年月日2015.08.04／登録番号12-0184／登録回81／千葉県夷隅郡大多喜町大多喜93／解説文「今井兼次設計の役場庁舎…」
文化庁 国指定文化財等データベース 大隈重信記念館	https://kunishitei.bunka.go.jp/heritage/detail/101/00011836	200	官	登録有形文化財(建造物)／昭和41年・昭和59年・平成27年改修（1966／1984・2015改修）／登録年月日2017.06.28／登録番号41-0105／登録回87／佐賀県佐賀市水ヶ江二丁目360-2／解説文「大隈重信生誕一二五周年を記念し、今井兼次が設計した…」
文化庁 国指定文化財等データベース フリーワード検索（塔の家）	https://kunishitei.bunka.go.jp/bsys/searchlist	200	官	0件（国の指定・登録なし）
同（大学セミナーハウス）	https://kunishitei.bunka.go.jp/bsys/searchlist	200	官	0件
同（アテネ・フランセ）	https://kunishitei.bunka.go.jp/bsys/searchlist	200	官	0件
同（江津市庁舎）	https://kunishitei.bunka.go.jp/bsys/searchlist	200	官	0件
同（土浦家住宅）	https://kunishitei.bunka.go.jp/bsys/searchlist	200	官	0件（東京都指定のため国のDBは対象外）
東京都教育委員会 都内の文化財情報	https://www.kyoiku.metro.tokyo.lg.jp/lifelong/cultural_property/resource	200	官	★「※現在、東京都文化財情報データベースは改修中のため、閲覧できません。」＝都指定文化財の指定年月日を都公式で確認する経路が閉じている
アテネ・フランセ 公式 沿革	https://athenee.jp/about/history/	200	公	1962年4月＝現在の校舎を新築・落成式・建築学会賞受賞／1964年＝地下二階増築／1970年5月＝四階と塔の増築／2009年＝耐震補強（田中弥寿夫先生 U研究室）／2012年＝内装改修。★「吉阪隆正」の語は0件
アテネ・フランセ 公式 トップ	https://www.athenee.jp/	200	公	学校名の英語表記＝Athénée Français（<title>）
早稲田大学 會津八一記念博物館 公式 コレクション	https://www.waseda.jp/culture/aizu-museum/about-2/collections/	200	公	「1998年の博物館の開館以来」
同 會津八一と博物館	https://www.waseda.jp/culture/aizu-museum/about-2/history/	200	公	「今井兼次設計の旧図書館（二号館）を再生して開館することになった」
同 英語ページ About Aizu Museum	https://www.waseda.jp/culture/aizu-museum/about/	200	公	公式英語名＝Aizu Museum／Waseda Aizu Museum
大隈重信記念館 公式	https://www.okuma-museum.jp/	200	公	英語表記＝Okuma Memorial Museum（コピーライト）／所在地＝〒840-0054 佐賀市水ヶ江2丁目11番11号
ポーラ文化研究所 土浦亀城邸	https://www.cosmetic-culture.po-holdings.co.jp/tsuchiura/	200	公	東京都指定有形文化財（建造物）土浦家住宅／1935年竣工／1995年に東京都指定有形文化財／1999年DOCOMOMO Japan最初の20選／2024年ポーラ青山ビルディング敷地内へ復原・移築
同 1-1 土浦邸の概要	https://www.cosmetic-culture.po-holdings.co.jp/tsuchiura/1-1/	200	公	「土浦夫妻にとって2つ目となる自邸は昭和10年（1935）東京・上大崎に竣工」／本文の表記は「土浦邸（第二）」／「共同設計者の信子は…」
同 1-3 保存・公開までの道のり	https://www.cosmetic-culture.po-holdings.co.jp/tsuchiura/1-3/	200	公	解体調査2022年6月／「元々建っていた品川大崎の土地」／東京都教育庁に相談のうえ文化財指定された状態で青山へ移築の許可／1935年創建当時の姿への復原
ピーオーリアルエステート 土浦亀城邸	https://www.po-realestate.co.jp/business/aoyama-tsuchiurakameki.html	200	公	「建築家・土浦亀城・信子夫妻の自邸として1935年に建てられた」／1995年東京都指定有形文化財／1999年DOCOMOMO JAPAN最初の20選
東 環境・建築研究所 公式 History	https://www.azuma-architects.com/history/	200	公	作品年表「1966 Tower House」／「平成６年には、東孝光が『塔の家から阿佐ヶ谷の家に至る一連の都市型住宅』で日本建築学会賞を受賞する。」★同ページの英語本文は機械翻訳（Asagaya of home 等）で採らない
同 公式 作品ページ 阿佐ヶ谷の家	https://www.azuma-architects.com/works/house-apartment/house-at-asagaya/	200	公	House at Asagaya／Tokyo 1993／東京都杉並区（Suginami-ku,Tokyo,Japan）
DOCOMOMO Japan 登録一覧	https://docomomojapan.com/	200	B	No.6 土浦亀城自邸（土浦亀城・信子／1935）／No.19 大学セミナー・ハウス（吉阪隆正＋U研究室／1965）／No.86 塔の家（東孝光／1966）／No.130 大多喜町役場（今井兼次〔改修・増築 千葉学〕／★1958）／No.192 江津市庁舎（吉阪隆正＋U研究室／1962）
