"name","genre","score","signals"
"佐野繁次郎","デザイン","6","作業メモ／読み注記／代表作が汎称"
"佐野利器","建築","6","他人名記念館／収蔵欄に説明文混入"
"内田祥三","建築","6","他人名記念館／収蔵欄に説明文混入"
"磯崎新","建築","6","他人名記念館／収蔵欄に説明文混入"
"丹下健三","建築","6","他人名記念館／収蔵欄に説明文混入"
"清家清","建築","6","他人名記念館／収蔵欄に説明文混入"
"吉田五十八","建築","6","他人名記念館／収蔵欄に説明文混入"
"村野藤吾","建築","6","他人名記念館／収蔵欄に説明文混入"
"武田霞洞","書","6","作業メモ／収蔵欄に説明文混入／代表作空"
"北村西望","彫刻","6","作業メモ／他人名記念館／vp作品名"
"鈴木信太郎","絵画","5","作業メモ／読み注記／収蔵欄空"
"会津八一","書","5","他人名記念館／代表作が汎称"
"河野鷹思","デザイン","4","作業メモ／代表作が汎称"
"ヨシダミノル","現代美術","4","収蔵欄空／代表作が汎称／vp作品名"
"成田克彦","現代美術","4","作業メモ／収蔵欄空／vp作品名"
"金丸重嶺","写真","4","作業メモ／代表作が汎称"
"殿村藍田","書","4","作業メモ／代表作が汎称"
"炭山南木","書","4","作業メモ／代表作が汎称"
"廣津雲仙","書","4","作業メモ／代表作が汎称"
"深山龍洞","書","4","作業メモ／読み注記"
"渡辺沙鴎","書","4","作業メモ／収蔵欄空／代表作空"
"大澤雅休","書","4","作業メモ／代表作が汎称"
"桑田笹舟","書","4","作業メモ／代表作が汎称"
"桑原翠邦","書","4","作業メモ／代表作が汎称"
"雨宮治郎","彫刻","4","作業メモ／収蔵欄空／vp作品名"
"武石弘三郎","彫刻","4","他人名記念館／vp作品名"
"関野聖雲","彫刻","4","作業メモ／収蔵欄空／vp作品名"
"沼田一雅","彫刻","4","作業メモ／収蔵欄空／vp作品名"
"芦田淳","デザイン","3","収蔵欄空／代表作が汎称"
"原田治","デザイン","3","作業メモ／収蔵欄空"
"森英恵","デザイン","3","収蔵欄空／代表作が汎称"
"桂由美","デザイン","3","収蔵欄空／代表作が汎称"
"中村乃武夫","デザイン","3","作業メモ／収蔵欄空"
"伊東茂平","デザイン","3","作業メモ／収蔵欄空"
"小池岩太郎","デザイン","3","作業メモ／収蔵欄空"
"小林かいち","デザイン","3","作業メモ／収蔵欄空"
"大智浩","デザイン","3","作業メモ／収蔵欄空"
"内藤ルネ","デザイン","3","作業メモ／収蔵欄空"
"灘本唯人","デザイン","3","作業メモ／収蔵欄空"
"長友啓典","デザイン","3","作業メモ／収蔵欄空"
"和田誠","デザイン","3","作業メモ／収蔵欄空"
"戸田ツトム","デザイン","3","作業メモ／収蔵欄空"
"安西水丸","デザイン","3","作業メモ／収蔵欄空"
"福沢一郎","絵画","3","代表作が汎称／vp作品名"
"奥田元宋","絵画","3","作業メモ／vp作品名"
"正宗得三郎","絵画","3","作業メモ／代表作空"
"伊東深水","絵画","3","作業メモ／vp作品名"
"林武","絵画","3","作業メモ／vp作品名"
"谷口吉郎","建築","3","収蔵欄に説明文混入"
"前川國男","建築","3","収蔵欄に説明文混入"
"槇文彦","建築","3","収蔵欄に説明文混入"
"須田剋太","現代美術","3","他人名記念館"
"原口典之","現代美術","3","代表作が汎称／vp作品名"
"浜田知明","現代美術","3","代表作が汎称／vp作品名"
"熊倉順吉","工芸","3","代表作が汎称／vp作品名"
"加藤唐九郎","工芸","3","他人名記念館"
"上野為二","工芸","3","作業メモ／収蔵欄空"
"生野祥雲斎","工芸","3","作業メモ／vp作品名"
"並河靖之","工芸","3","作業メモ／代表作空"
"羽田登喜男","工芸","3","作業メモ／vp作品名"
"薗部澄","写真","3","作業メモ／代表作空"
"影山光洋","写真","3","作業メモ／代表作空"
"福原路草","写真","3","作業メモ／代表作空"
"手島右卿","書","3","代表作が汎称／vp作品名"
"清水多嘉示","彫刻","3","作業メモ／vp作品名"
"桜井祐一","彫刻","3","作業メモ／vp作品名"
"古賀忠雄","彫刻","3","作業メモ／vp作品名"
"藤川勇造","彫刻","3","作業メモ／vp作品名"
"粟津潔","デザイン","2","代表作が汎称"
"早川良雄","デザイン","2","代表作が汎称"
"橋口五葉","デザイン","2","作業メモ"
"木村恒久","デザイン","2","代表作が汎称"
"永井一正","デザイン","2","作業メモ"
"水之江忠臣","デザイン","2","作業メモ"
"今竹七郎","デザイン","2","作業メモ"
"杉浦非水","デザイン","2","作業メモ"
"松本竣介","絵画","2","夭折ラベル／vp作品名"
"土田麦僊","絵画","2","夭折ラベル／vp作品名"
"川崎小虎","絵画","2","作業メモ"
"靉光","絵画","2","夭折ラベル／vp作品名"
"三宅克己","絵画","2","作業メモ"
"菱田春草","絵画","2","夭折ラベル／vp作品名"
"山口蓬春","絵画","2","作業メモ"
"古賀春江","絵画","2","夭折ラベル／vp作品名"
"今村紫紅","絵画","2","夭折ラベル／vp作品名"
"中村琢二","絵画","2","作業メモ"
"中村彝","絵画","2","夭折ラベル／vp作品名"
"原田直次郎","絵画","2","夭折ラベル／vp作品名"
"中山巍","絵画","2","作業メモ"
"大下藤次郎","絵画","2","夭折ラベル／収蔵欄空"
"青木繁","絵画","2","夭折ラベル／vp作品名"
"岸田劉生","絵画","2","夭折ラベル／vp作品名"
"関根正二","絵画","2","夭折ラベル／vp作品名"
"林重義","絵画","2","作業メモ"
"伊原宇三郎","絵画","2","作業メモ"
"吉田稔郎","現代美術","2","代表作が汎称"
"上前智祐","現代美術","2","代表作が汎称"
"中西夏之","現代美術","2","代表作が汎称"
"榎倉康二","現代美術","2","代表作が汎称"
"宇佐美圭司","現代美術","2","代表作が汎称"
"富山妙子","現代美術","2","代表作が汎称"
"福島秀子","現代美術","2","作業メモ"
"桑山忠明","現代美術","2","代表作が汎称"
"井田照一","現代美術","2","代表作が汎称"
"田中信太郎","現代美術","2","代表作が汎称"
"岡本信治郎","現代美術","2","作業メモ"
"吉原英雄","現代美術","2","代表作が汎称"
"池田龍雄","現代美術","2","代表作が汎称"
"桂ゆき","現代美術","2","読み注記"
"三木富雄","現代美術","2","作業メモ"
"田名網敬一","現代美術","2","代表作が汎称"
"今井俊満","現代美術","2","代表作が汎称"
"平田郷陽","工芸","2","収蔵欄空／vp作品名"
"各務鑛三","工芸","2","作業メモ"
"帖佐美行","工芸","2","収蔵欄空／vp作品名"
"宮川香山","工芸","2","作業メモ"
"北大路魯山人","工芸","2","代表作が汎称"
"堀柳女","工芸","2","収蔵欄空／vp作品名"
"野島康三","写真","2","作業メモ"
"三木淳","写真","2","代表作が汎称"
"山沢栄子","写真","2","代表作が汎称"
"坂田稔","写真","2","作業メモ"
"常盤とよ子","写真","2","作業メモ"
"中村正也","写真","2","作業メモ"
"篠山紀信","写真","2","代表作が汎称"
"田村茂","写真","2","作業メモ"
"安東聖空","書","2","代表作が汎称"
"松本芳翠","書","2","代表作が汎称"
"宇野雪村","書","2","代表作が汎称"
"川村驥山","書","2","代表作が汎称"
"比田井南谷","書","2","代表作が汎称"
"山岡鉄舟","書","2","代表作が汎称"
"上條信山","書","2","代表作が汎称"
